# Time (s), acceleration Magnitude (m/s²), Vz (m/s), Z (m)
0.000000,69.314763,0.000000,697.000000
0.005831,69.326060,0.404133,697.002357
0.011663,69.336569,0.808328,697.007070
0.021663,69.354548,1.501545,697.018620
0.031663,69.372515,2.194942,697.037102
0.041663,69.390433,2.888519,697.062520
0.051663,69.408278,3.582274,697.094873
0.061663,69.426090,4.276207,697.134166
0.071663,69.443795,4.970318,697.180399
0.081663,69.461523,5.664606,697.233573
0.091663,69.479132,6.359071,697.293692
0.101663,69.541657,7.053936,697.360757
0.111663,69.567728,7.749244,697.434772
0.121663,69.585286,8.444770,697.515743
0.131663,69.602742,9.140471,697.603669
0.141663,69.620197,9.836347,697.698553
0.151663,69.637638,10.532397,697.800397
0.161663,69.654964,11.228621,697.909202
0.171663,69.672295,11.925018,698.024970
0.181663,69.689565,12.621587,698.147703
0.191663,69.706772,13.318330,698.277402
0.201663,69.765088,14.015415,698.414071
0.211663,69.790205,14.712980,698.557712
0.221663,69.807338,15.410734,698.708331
0.231663,69.824446,16.108653,698.865928
0.241663,69.841495,16.806743,699.030505
0.251663,69.858491,17.505003,699.202063
0.261663,69.875435,18.203433,699.380605
0.271663,69.892321,18.902032,699.566133
0.281663,69.909184,19.600799,699.758647
0.291663,69.926023,20.299735,699.958149
0.301663,69.982095,20.999003,700.164643
0.311663,70.006651,21.698706,700.378131
0.321663,70.023380,22.398616,700.598618
0.331663,70.040053,23.098692,700.826104
0.341663,70.056670,23.798935,701.060592
0.351663,70.073233,24.499344,701.302084
0.361663,70.089844,25.199919,701.550580
0.371663,70.106298,25.900659,701.806083
0.381663,70.122798,26.601563,702.068594
0.391663,70.139244,27.302633,702.338115
0.401663,70.193104,28.004053,702.614649
0.411663,70.217075,28.705863,702.898198
0.421663,70.233409,29.407874,703.188767
0.431663,70.249722,30.110049,703.486356
0.441663,70.265912,30.812386,703.790969
0.451663,70.282048,31.514884,704.102605
0.461663,70.298231,32.217544,704.421267
0.471663,70.314359,32.920365,704.746957
0.481663,70.330333,33.623347,705.079675
0.491663,70.346354,34.326489,705.419424
0.501663,70.398238,35.029970,705.766207
0.511663,70.421661,35.733828,706.120026
0.521663,70.437569,36.437882,706.480884
0.531663,70.453390,37.142095,706.848784
0.541663,70.469259,37.846466,707.223727
0.551663,70.484968,38.550995,707.605714
0.561663,70.500726,39.255682,707.994748
0.571663,70.516431,39.960525,708.390829
0.581663,70.532048,40.665525,708.793959
0.591663,70.547647,41.370681,709.204140
0.601663,70.597549,42.076165,709.621374
0.603188,70.604192,42.183823,709.685641
0.606398,70.612816,42.410355,709.821756
0.609607,70.618312,42.636904,709.958599
0.616026,70.628325,43.090034,710.233738
0.622445,70.638169,43.543227,710.511787
0.628864,70.648043,43.996484,710.792744
0.638864,70.663573,44.702730,711.236240
0.648864,70.678805,45.409131,711.686799
0.658864,70.694039,46.115683,712.144423
0.668864,70.709481,46.822388,712.609113
0.678864,70.724638,47.529245,713.080871
0.688864,70.739846,48.236254,713.559699
0.698864,70.754818,48.943413,714.045597
0.708864,70.809794,49.650888,714.538568
0.718864,70.824918,50.358745,715.038616
0.728864,70.839895,51.066753,715.545744
0.738864,70.854582,51.774907,716.059952
0.748864,70.869581,52.483209,716.581243
0.758864,70.884570,53.191659,717.109617
0.768864,70.898911,53.900255,717.645077
0.778864,70.914068,54.608995,718.187623
0.788864,70.928556,55.317881,718.737257
0.798864,70.943037,56.026910,719.293981
0.808864,70.996018,56.736272,719.857797
0.818864,71.010903,57.445969,720.428708
0.828864,71.025182,58.155808,721.006717
0.838864,71.039616,58.865784,721.591825
0.848864,71.053961,59.575898,722.184033
0.858864,71.068237,60.286149,722.783344
0.868864,71.082768,60.996535,723.389757
0.878864,71.096900,61.707055,724.003275
0.888864,71.111384,62.417708,724.623899
0.898864,71.125544,63.128493,725.251629
0.908864,71.176501,63.839560,725.886469
0.918864,71.190823,64.550999,726.528422
0.928864,71.205101,65.262536,727.177490
0.938864,71.219302,65.974197,727.833673
0.948864,71.233255,66.685980,728.496974
0.958864,71.247286,67.397882,729.167393
0.968864,71.261335,68.109901,729.844932
0.978864,71.275384,68.822037,730.529591
0.988864,71.289447,69.534286,731.221373
0.998864,71.303594,70.246647,731.920278
1.008864,71.353090,70.959252,732.626307
1.018864,71.367058,71.672244,733.339464
1.028864,71.381128,72.385267,734.059752
1.038864,71.395177,73.098403,734.787170
1.048864,71.409215,73.811645,735.521720
1.058864,71.423229,74.524985,736.263403
1.068864,71.437194,75.238421,737.012220
1.078864,71.450935,75.951950,737.768172
1.088864,71.465064,76.665570,738.531259
1.098864,71.479081,77.379280,739.301484
1.108864,71.527442,78.093265,740.078846
1.118864,71.541497,78.807455,740.863350
1.128864,71.555428,79.521770,741.654996
1.138864,71.569192,80.236170,742.453785
1.148864,71.583271,80.950645,743.259719
1.158864,71.597288,81.665195,744.072798
1.168864,71.611242,82.379820,744.893023
1.178864,71.625237,83.094519,745.720395
1.188864,71.639097,83.809293,746.554914
1.198864,71.652978,84.524138,747.396581
1.208864,71.699930,85.239235,748.245398
1.218864,71.714178,85.954520,749.101366
1.228864,71.727913,86.669916,749.964488
1.238864,71.741777,87.385388,750.834765
1.248864,71.755573,88.100927,751.712196
1.258864,71.769334,88.816533,752.596784
1.268864,71.782957,89.532209,753.488527
1.278864,71.796564,90.247958,754.387428
1.288864,71.809978,90.963779,755.293487
1.298864,71.823529,91.679675,756.206704
1.308864,71.868519,92.395820,757.127081
1.318864,71.882151,93.112155,758.054621
1.328864,71.895290,93.828610,758.989325
1.338864,71.908256,94.545152,759.931193
1.348864,71.921163,95.261775,760.880228
1.358864,71.934143,95.978481,761.836429
1.368864,71.946559,96.695273,762.799798
1.378864,71.959106,97.412161,763.770335
1.388864,71.971709,98.129147,764.748041
1.398864,71.983796,98.846236,765.732918
1.408864,72.026889,99.563576,766.724967
1.418864,72.038927,100.281161,767.724190
1.428864,72.050603,100.998905,768.730590
1.438864,72.062212,101.716755,769.744169
1.448864,72.074061,102.434708,770.764926
1.458864,72.085312,103.152780,771.792864
1.468864,72.096347,103.870980,772.827982
1.478864,72.107446,104.589313,773.870284
1.488864,72.118344,105.307779,774.919769
1.498864,72.129213,106.026382,775.976440
1.508864,72.169478,106.745266,777.040298
1.518864,72.180354,107.464425,778.111346
1.528864,72.190500,108.183776,779.189587
1.538864,72.200970,108.903266,780.275022
1.548864,72.210955,109.622890,781.367652
1.558864,72.221130,110.342661,782.467480
1.568864,72.231072,111.062588,783.574506
1.578864,72.241220,111.782674,784.688732
1.588864,72.251086,112.502918,785.810160
1.598864,72.260887,113.223319,786.938791
1.608864,72.299365,113.944014,788.074628
1.618864,72.309341,114.664994,789.217672
1.628864,72.318915,115.386177,790.367928
1.638864,72.328674,116.107509,791.525396
1.648864,72.338354,116.828981,792.690079
1.658864,72.348025,117.550604,793.861977
1.668864,72.357627,118.272383,795.041091
1.678864,72.367367,118.994317,796.227425
1.688864,72.376956,119.716401,797.420978
1.698864,72.386662,120.438633,798.621753
1.708864,72.424213,121.161142,799.829752
1.718864,72.434135,121.883918,801.044977
1.728864,72.443567,122.606876,802.267431
1.738864,72.453549,123.329964,803.497115
1.748864,72.463259,124.053171,804.734030
1.758864,72.472943,124.776504,805.978179
1.768864,72.482516,125.499965,807.229561
1.778864,72.492169,126.223553,808.488178
1.788864,72.502089,126.947261,809.754032
1.798864,72.511598,127.671087,811.027124
1.808864,72.548081,128.395153,812.307455
1.818864,72.557857,129.119448,813.595028
1.828864,72.567256,129.843890,814.889844
1.838864,72.576835,130.568427,816.191906
1.848864,72.586250,131.293048,817.501213
1.858864,72.595766,132.017760,818.817767
1.868864,72.605173,132.742566,820.141569
1.878864,72.614413,133.467464,821.472619
1.888864,72.623597,134.192446,822.810918
1.898864,72.633036,134.917510,824.156468
1.908864,72.667888,135.642776,825.509269
1.918864,72.677432,136.368232,826.869324
1.928864,72.686419,137.093802,828.236634
1.938864,72.695414,137.819434,829.611200
1.948864,72.704277,138.545117,830.993023
1.958864,72.713148,139.270859,832.382103
1.968864,72.721858,139.996661,833.778441
1.978864,72.730700,140.722524,835.182036
1.988864,72.739386,141.448441,836.592891
1.998864,72.748130,142.174411,838.011005
2.008864,72.782195,142.900541,839.436380
2.018864,72.790877,143.626850,840.869017
2.028864,72.799433,144.353251,842.308917
2.038864,72.808171,145.079671,843.756082
2.048864,72.816534,145.806107,845.210511
2.058864,72.825316,146.532589,846.672204
2.068864,72.833683,147.259125,848.141163
2.078864,72.842131,147.985705,849.617387
2.088864,72.850584,148.712321,851.100877
2.098864,72.859041,149.438971,852.591633
2.108864,72.891854,150.165776,854.089657
2.118864,72.900439,150.892702,855.594949
2.128864,72.908803,151.619708,857.107511
2.138864,72.916737,152.346766,858.627343
2.148864,72.925030,153.073865,860.154447
2.158864,72.932965,153.801004,861.688821
2.168864,72.940860,154.528184,863.230467
2.178864,72.948752,155.255411,864.779385
2.188864,72.956398,155.982688,866.335575
2.198864,72.962913,156.710012,867.899039
2.208864,72.994980,157.437502,869.469776
2.218864,73.002737,158.165157,871.047789
2.228864,73.009918,158.892911,872.633079
2.238864,73.016706,159.620720,874.225647
2.248864,73.023747,160.348580,875.825494
2.258864,73.030530,161.076502,877.432619
2.268864,73.037062,161.804497,879.047024
2.278864,73.043422,162.532566,880.668710
2.288864,73.049768,163.260710,882.297676
2.298864,73.055864,163.988931,883.933924
2.308864,73.084872,164.717340,885.577455
2.318864,73.091280,165.445933,887.228271
2.328864,73.097015,166.174646,888.886374
2.338864,73.102477,166.903436,890.551764
2.348864,73.108463,167.632299,892.224443
2.358864,73.113928,168.361244,893.904411
2.368864,73.119466,169.090277,895.591668
2.378864,73.124872,169.819399,897.286217
2.388864,73.130230,170.548607,898.988057
2.398864,73.135796,171.277901,900.697189
2.408864,73.162881,172.007398,902.413615
2.418864,73.168488,172.737057,904.137338
2.428864,73.173395,173.466824,905.868357
2.438864,73.178713,174.196676,907.606674
2.448864,73.183750,174.926602,909.352291
2.458864,73.188872,175.656600,911.105207
2.468864,73.193912,176.386671,912.865423
2.478864,73.199109,177.116811,914.632940
2.488864,73.203983,177.847017,916.407759
2.498864,73.208841,178.577286,918.189881
2.508864,73.235282,179.307716,919.979306
2.518864,73.240279,180.038297,921.776036
2.528864,73.245015,180.768964,923.580072
2.538864,73.249864,181.499673,925.391415
2.548864,73.254766,182.230417,927.210065
2.558864,73.259166,182.961198,929.036023
2.568864,73.263666,183.692018,930.869289
2.578864,73.268275,184.422873,932.709864
2.588864,73.272597,185.153759,934.557747
2.598864,73.276712,185.884670,936.412939
2.608864,73.301371,186.615701,938.275441
2.618864,73.305265,187.346840,940.145254
2.628864,73.309099,188.078026,942.022378
2.638864,73.312653,188.809217,943.906814
2.648864,73.316081,189.540404,945.798562
2.658864,73.319523,190.271592,947.697622
2.668864,73.322909,191.002785,949.603994
2.678864,73.326292,191.733982,951.517678
2.688864,73.329728,192.465182,953.438674
2.698864,73.332735,193.196380,955.366981
2.708864,73.356052,193.927673,957.302602
2.718864,73.359288,194.659053,959.245535
2.728864,73.362272,195.390463,961.195783
2.738864,73.365244,196.121874,963.153344
2.748864,73.367840,196.853274,965.118220
2.758864,73.370498,197.584666,967.090410
2.768864,73.373096,198.316056,969.069913
2.778864,73.375374,199.047446,971.056731
2.788864,73.377676,199.778839,973.050862
2.798864,73.379899,200.510235,975.052307
2.808864,73.401470,201.241731,977.061067
2.818864,73.403610,201.973321,979.077142
2.828864,73.405319,202.704954,981.100534
2.838864,73.406861,203.436595,983.131241
2.848864,73.408103,204.168238,985.169265
2.858864,73.409224,204.899890,987.214606
2.868864,73.410305,205.631553,989.267263
2.878864,73.411384,206.363233,991.327237
2.888864,73.412036,207.094930,993.394528
2.898864,73.412536,207.826645,995.469136
2.908864,73.431751,208.558467,997.551061
2.918864,73.432371,209.290391,999.640305
2.928864,73.432642,210.022363,1001.736869
2.938864,73.432435,210.754347,1003.840752
2.948864,73.421256,211.486283,1005.951956
2.958864,73.408255,212.218119,1008.070478
2.968864,73.394950,212.949838,1010.196318
2.978864,73.381741,213.681437,1012.329474
2.988864,73.368484,214.412916,1014.469946
2.998864,73.354818,215.144273,1016.617732
