# Time (s), acceleration Magnitude (m/s²), Vz (m/s), Z (m)
0.000000,69.312113,0.000000,697.000000
0.005831,69.323410,0.404180,697.002357
0.011662,69.333918,0.808422,697.007070
0.021662,69.351897,1.501801,697.018622
0.031662,69.369864,2.195359,697.037107
0.041662,69.387782,2.889097,697.062530
0.051662,69.405627,3.583013,697.094890
0.061662,69.423440,4.277108,697.134191
0.071662,69.441144,4.971381,697.180433
0.081662,69.458871,5.665830,697.233619
0.091662,69.476479,6.360457,697.293751
0.101662,69.538994,7.055484,697.360830
0.111662,69.565071,7.750953,697.434863
0.121662,69.582626,8.446641,697.515851
0.131662,69.600080,9.142504,697.603796
0.141662,69.617531,9.838542,697.698702
0.151662,69.634969,10.534754,697.800568
0.161662,69.652291,11.231140,697.909397
0.171662,69.669619,11.927698,698.025192
0.181662,69.686884,12.624430,698.147952
0.191662,69.704087,13.321335,698.277681
0.201662,69.762390,14.018582,698.414380
0.211662,69.787509,14.716309,698.558054
0.221662,69.804636,15.414225,698.708707
0.231662,69.821738,16.112306,698.866339
0.241662,69.838781,16.810558,699.030954
0.251662,69.855771,17.508980,699.202551
0.261662,69.872707,18.207572,699.381134
0.271662,69.889587,18.906333,699.566704
0.281662,69.906442,19.605262,699.759261
0.291662,69.923274,20.304360,699.958809
0.301662,69.979331,21.003789,700.165350
0.311662,70.003885,21.703655,700.378887
0.321662,70.020605,22.403726,700.599424
0.331662,70.037269,23.103965,700.826962
0.341662,70.053877,23.804370,701.061504
0.351662,70.070431,24.504940,701.303051
0.361662,70.087032,25.205677,701.551604
0.371662,70.103475,25.906578,701.807165
0.381662,70.119966,26.607645,702.069736
0.391662,70.136400,27.308876,702.339319
0.401662,70.190244,28.010458,702.615915
0.411662,70.214210,28.712429,702.899530
0.421662,70.230533,29.414602,703.190165
0.431662,70.246834,30.116938,703.487823
0.441662,70.263013,30.819436,703.792505
0.451662,70.279136,31.522095,704.104212
0.461662,70.295307,32.224917,704.422947
0.471662,70.311423,32.927899,704.748711
0.481662,70.327383,33.631042,705.081506
0.491662,70.343392,34.334345,705.421333
0.501662,70.395257,35.037987,705.768195
0.511662,70.418673,35.742006,706.122095
0.521662,70.434568,36.446221,706.483036
0.531662,70.450374,37.150594,706.851020
0.541662,70.466230,37.855126,707.226048
0.551662,70.481925,38.559816,707.608123
0.561662,70.497669,39.264662,707.997245
0.571662,70.513360,39.969666,708.393417
0.581662,70.528962,40.674827,708.796640
0.591662,70.544546,41.380143,709.206914
0.601662,70.594428,42.085787,709.624244
0.603200,70.601113,42.194394,709.689078
0.606413,70.609199,42.421231,709.825371
0.609626,70.614408,42.648085,709.962392
0.616051,70.624629,43.101825,710.237892
