# Time (s), acceleration Magnitude (m/s²), Vz (m/s), Z (m)
0.000000,69.343610,0.000000,697.000000
0.005839,69.354915,0.403621,697.002357
0.011678,69.365429,0.807302,697.007070
0.021678,69.383397,1.498761,697.018601
0.031678,69.401353,2.190400,697.037047
0.041678,69.419254,2.882216,697.062410
0.051678,69.437083,3.574211,697.094692
0.061678,69.454875,4.266384,697.133895
0.071678,69.472560,4.958733,697.180020
0.081678,69.490265,5.651259,697.233070
0.091678,69.507852,6.343960,697.293046
0.101678,69.570458,7.037061,697.359951
0.111678,69.596426,7.730604,697.433790
0.121678,69.613962,8.424363,697.514565
0.131678,69.631397,9.118297,697.602278
0.141678,69.648832,9.812404,697.696931
0.151678,69.666260,10.506686,697.798527
0.161678,69.683563,11.201140,697.907066
0.171678,69.700873,11.895767,698.022551
0.181678,69.718120,12.590566,698.144982
0.191678,69.735304,13.285536,698.274363
0.201678,69.793681,13.980849,698.410694
0.211678,69.818695,14.676639,698.553981
0.221678,69.835806,15.372619,698.704227
0.231678,69.852889,16.068762,698.861434
0.241678,69.869912,16.765075,699.025603
0.251678,69.886885,17.461557,699.196737
0.261678,69.903802,18.158208,699.374835
0.271678,69.920660,18.855028,699.559902
0.281678,69.937493,19.552015,699.751937
0.291678,69.954305,20.249171,699.950943
0.301678,70.010422,20.946657,700.156922
0.311678,70.034873,21.644603,700.369877
0.321678,70.051570,22.342735,700.589814
0.331678,70.068210,23.041026,700.816733
0.341678,70.084793,23.739483,701.050635
0.351678,70.101323,24.438105,701.291523
0.361678,70.117897,25.136892,701.539398
0.371678,70.134314,25.835843,701.794262
0.381678,70.150776,26.534958,702.056116
0.391678,70.167183,27.234237,702.324962
0.401678,70.221074,27.933867,702.600802
0.411678,70.244932,28.633884,702.883641
0.421678,70.261222,29.334100,703.173481
0.431678,70.277492,30.034480,703.470324
0.441678,70.293637,30.735020,703.774171
0.451678,70.309725,31.435721,704.085025
0.461678,70.325859,32.136583,704.402887
0.471678,70.341938,32.837606,704.727758
0.481678,70.357860,33.538788,705.059640
0.491678,70.373828,34.240128,705.398534
0.501678,70.425724,34.941808,705.744444
0.511678,70.449026,35.643861,706.097372
0.521678,70.464876,36.346110,706.457322
0.531678,70.480637,37.048517,706.824295
0.541678,70.496443,37.751080,707.198293
0.551678,70.512090,38.453801,707.579318
0.561678,70.527783,39.156677,707.967370
0.571678,70.543422,39.859710,708.362452
0.581678,70.558973,40.562899,708.764565
0.591678,70.574499,41.266242,709.173711
0.601678,70.624390,41.969911,709.589891
0.603065,70.630560,42.067600,709.648203
0.605758,70.637979,42.257055,709.761960
