# Time (s), acceleration Magnitude (m/s²), Vz (m/s), Z (m)
0.000000,71.214627,0.000000,697.000000
0.005764,71.223057,0.408860,697.002357
0.011528,71.231450,0.817768,697.007070
0.021528,71.245927,1.527237,697.018796
0.031528,71.260267,2.236850,697.037616
0.041528,71.274480,2.946605,697.063533
0.051528,71.288581,3.656500,697.096549
0.061528,71.302479,4.366536,697.136664
0.071528,71.316252,5.076709,697.183880
0.081528,71.329847,5.787018,697.238199
0.091528,71.343287,6.497462,697.299621
0.101528,71.356690,7.208039,697.368149
0.111528,71.369911,7.918749,697.443783
0.121528,71.382998,8.629591,697.526524
0.131528,71.395959,9.340561,697.616375
0.141528,71.408736,10.051660,697.713336
0.151528,71.421450,10.762886,697.817409
0.161528,71.434015,11.474238,697.928595
0.171528,71.446424,12.185714,698.046894
0.181528,71.458728,12.897314,698.172309
0.191528,71.470809,13.609034,698.304841
0.201528,71.482783,14.320875,698.444491
0.211528,71.494657,15.032834,698.591259
0.221528,71.506429,15.744911,698.745148
0.231528,71.518101,16.457104,698.906158
0.241528,71.529679,17.169414,699.074290
0.251528,71.540990,17.881838,699.249547
0.261528,71.552167,18.594373,699.431928
0.271528,71.563245,19.307019,699.621435
0.281528,71.574225,20.019775,699.818068
0.291528,71.585112,20.732640,700.021831
0.301528,71.595908,21.445613,700.232722
0.311528,71.606420,22.158692,700.450743
0.321528,71.616804,22.871875,700.675896
0.331528,71.627091,23.585161,700.908181
0.341528,71.637285,24.298549,701.147600
0.351528,71.647384,25.012038,701.394153
0.361528,71.657387,25.725628,701.647841
0.371528,71.667101,26.439315,701.908666
0.381528,71.676693,27.153099,702.176628
0.391528,71.686190,27.866977,702.451728
0.401528,71.695591,28.580950,702.733968
0.411528,71.704896,29.295016,703.023347
0.421528,71.714105,30.009174,703.319868
0.431528,71.723021,30.723422,703.623531
0.441528,71.731817,31.437759,703.934337
0.451528,71.740517,32.152182,704.252287
0.461528,71.749121,32.866692,704.577381
0.471528,71.757630,33.581287,704.909621
0.481528,71.766043,34.295966,705.249007
0.491528,71.774151,35.010728,705.595540
0.501528,71.782147,35.725570,705.949222
0.511528,71.790047,36.440490,706.310052
0.521528,71.797851,37.155489,706.678032
0.531528,71.805558,37.870565,707.053162
0.541528,71.813164,38.585718,707.435444
0.551528,71.820463,39.300945,707.824877
0.561528,71.827655,40.016244,708.221463
0.571528,71.834751,40.731614,708.625202
0.581528,71.841747,41.447054,709.036095
0.591528,71.848642,42.162563,709.454143
0.601528,71.855440,42.878141,709.879347
0.611528,71.861885,43.593784,710.311707
0.621528,71.868226,44.309492,710.751223
0.623669,71.869571,44.462736,710.846256
0.624895,71.880833,44.550379,710.900855
0.626121,71.881457,44.638024,710.955563
0.628572,71.882977,44.813315,711.065192
0.631023,71.884382,44.988610,711.175251
0.633474,71.885976,45.163908,711.285739
0.643474,71.892093,45.879115,711.740954
0.653474,71.898051,46.594382,712.203322
0.663474,71.904130,47.309707,712.672842
0.673474,71.910023,48.025086,713.149516
0.683474,71.915886,48.740519,713.633344
0.693474,71.921228,49.456000,714.124326
0.703474,71.926716,50.171525,714.622464
0.713474,71.931881,50.887092,715.127757
0.723474,71.937082,51.602697,715.640206
0.733474,71.942281,52.318339,716.159811
0.743474,71.947380,53.034016,716.686573
0.753474,71.952406,53.749724,717.220492
0.763474,71.957278,54.465461,717.761567
0.773474,71.961811,55.181221,718.309801
0.783474,71.966378,55.897001,718.865192
0.793474,71.970624,56.612799,719.427741
0.803474,71.974937,57.328610,719.997448
0.813474,71.979180,58.044432,720.574313
0.823474,71.983400,58.760262,721.158337
0.833474,71.987484,59.476098,721.749518
0.843474,71.991413,60.191935,722.347859
0.853474,71.995083,60.907770,722.953357
0.863474,71.998724,61.623598,723.566014
0.873474,72.002034,62.339415,724.185829
0.883474,72.005626,63.055219,724.812802
0.893474,72.008924,63.771008,725.446933
0.903474,72.012207,64.486776,726.088222
0.913474,72.015363,65.202523,726.736669
0.923474,72.018323,65.918242,727.392273
0.933474,72.021450,66.633932,728.055034
0.943474,72.024082,67.349589,728.724951
0.953474,72.026474,68.065206,729.402025
0.963474,72.028930,68.780782,730.086255
0.973474,72.031406,69.496312,730.777641
0.983474,72.033720,70.211795,731.476181
0.993474,72.035848,70.927227,732.181876
1.003474,72.038008,71.642605,732.894726
1.013474,72.040007,72.357925,733.614728
1.023474,72.041688,73.073185,734.341884
1.033474,72.043300,73.788379,735.076192
1.043474,72.044802,74.503506,735.817651
1.053474,72.046192,75.218562,736.566262
1.063474,72.047466,75.933545,737.322022
1.073474,72.048636,76.648452,738.084932
1.083474,72.049856,77.363281,738.854991
1.093474,72.050874,78.078031,739.632198
1.103474,72.051572,78.792699,740.416551
1.113474,72.052049,79.507280,741.208051
1.123474,72.052469,80.221773,742.006697
