# Time (s), acceleration Magnitude (m/s²), Vz (m/s), Z (m)
0.000000,69.311522,0.000000,697.000000
0.005831,69.322818,0.404193,697.002357
0.011661,69.333326,0.808447,697.007070
0.021661,69.351307,1.501869,697.018622
0.031661,69.369278,2.195472,697.037109
0.041661,69.387204,2.889253,697.062532
0.051661,69.405066,3.583213,697.094895
0.061661,69.422891,4.277352,697.134197
0.071661,69.440611,4.971669,697.180443
0.081661,69.458354,5.666163,697.233632
0.091661,69.475981,6.360834,697.293767
0.101661,69.538490,7.055905,697.360850
0.111661,69.564585,7.751420,697.434887
0.121661,69.582157,8.447152,697.515880
0.131661,69.599629,9.143060,697.603831
0.141661,69.617100,9.839143,697.698742
0.151661,69.634549,10.535400,697.800615
0.161661,69.651893,11.231832,697.909451
0.171661,69.669242,11.928437,698.025252
0.181661,69.686530,12.625214,698.148020
0.191661,69.703757,13.322165,698.277757
0.201661,69.762079,14.019459,698.414465
0.211661,69.787227,14.717232,698.558148
0.221661,69.804381,15.415196,698.708810
0.231661,69.821512,16.113325,698.866453
0.241661,69.838584,16.811624,699.031077
0.251661,69.855601,17.510094,699.202686
0.261661,69.872570,18.208734,699.381280
0.271661,69.889481,18.907544,699.566862
0.281661,69.906371,19.606522,699.759432
0.291661,69.923237,20.305669,699.958993
0.301661,69.979327,21.005148,700.165547
0.311661,70.003920,21.705090,700.379097
0.321661,70.020678,22.405218,700.599649
0.331661,70.037381,23.105508,700.827202
0.341661,70.054029,23.805964,701.061760
0.351661,70.070623,24.506586,701.303322
0.361661,70.087266,25.207375,701.551892
0.371661,70.103752,25.908329,701.807471
0.381661,70.120286,26.609448,702.070060
0.391661,70.136766,27.310733,702.339660
0.401661,70.190654,28.012369,702.616276
0.411661,70.214669,28.714395,702.899910
0.421661,70.231039,29.416622,703.190565
0.431661,70.247389,30.119013,703.488243
0.441661,70.263618,30.821567,703.792946
0.451661,70.279792,31.524284,704.104675
0.461661,70.296014,32.227162,704.423432
0.471661,70.312183,32.930202,704.749219
0.481661,70.328197,33.633403,705.082037
0.491661,70.344259,34.336764,705.421888
0.501661,70.396179,35.040465,705.768774
0.511661,70.419652,35.744544,706.122699
0.521661,70.435604,36.448819,706.483666
0.531661,70.451468,37.153253,706.851676
0.541661,70.467381,37.857847,707.226732
0.551661,70.483138,38.562598,707.608834
0.561661,70.498941,39.267508,707.997985
0.571661,70.514692,39.972575,708.394185
0.581661,70.530356,40.677800,708.797437
0.591661,70.546002,41.383180,709.207742
0.601661,70.595947,42.088889,709.625102
0.603201,70.602646,42.197577,709.689983
0.606765,70.611368,42.449254,709.841286
0.610329,70.617232,42.700953,709.993485
0.617458,70.628492,43.204389,710.299678
0.624587,70.639389,43.707905,710.609460
0.631715,70.650258,44.211498,710.922831
0.641715,70.665860,44.918069,711.368479
0.651715,70.681243,45.624796,711.821193
0.661715,70.696558,46.331677,712.280975
0.671715,70.712036,47.038712,712.747827
0.681715,70.727046,47.745900,713.221750
0.691715,70.742132,48.453239,713.702746
0.701715,70.790885,49.160856,714.190816
0.711715,70.812484,49.868915,714.685964
0.721715,70.827460,50.577106,715.188194
0.731715,70.842814,51.285450,715.697507
0.741715,70.857843,51.993950,716.213904
0.751715,70.872466,52.702599,716.737387
0.761715,70.887430,53.411396,717.267956
0.771715,70.902328,54.120344,717.805615
0.781715,70.917061,54.829440,718.350364
0.791715,70.931960,55.538684,718.902204
0.801715,70.978665,56.248210,719.461138
0.811715,70.999535,56.958100,720.027170
0.821715,71.014159,57.668168,720.600301
0.831715,71.028684,58.378381,721.180534
0.841715,71.043127,59.088738,721.767870
0.851715,71.057840,59.799240,722.362310
0.861715,71.072118,60.509885,722.963855
0.871715,71.086510,61.220672,723.572508
0.881715,71.100713,61.931599,724.188269
0.891715,71.115067,62.642666,724.811140
