# Time (s), acceleration Magnitude (m/s²), Vz (m/s), Z (m)
0.000000,69.326328,0.000000,697.000000
0.005835,69.337613,0.403864,697.002357
0.011671,69.348105,0.807789,697.007070
0.021671,69.366037,1.500083,697.018610
0.031671,69.383945,2.192555,697.037073
0.041671,69.401797,2.885206,697.062462
0.051671,69.419590,3.578034,697.094778
0.061671,69.437358,4.271040,697.134023
0.071671,69.455033,4.964223,697.180200
0.081671,69.472748,5.657583,697.233309
0.091671,69.490369,6.351119,697.293352
0.101671,69.552919,7.045055,697.360333
0.111671,69.578924,7.739433,697.434256
0.121671,69.596475,8.434029,697.515123
0.131671,69.613933,9.128799,697.602937
0.141671,69.631401,9.823743,697.697700
0.151671,69.648842,10.518862,697.799413
0.161671,69.666155,11.214154,697.908078
0.171671,69.683483,11.909619,698.023697
0.181671,69.700763,12.605257,698.146271
0.191671,69.717986,13.301067,698.275803
0.201671,69.776354,13.997254,698.412294
0.211671,69.801432,14.693858,698.555750
0.221671,69.818571,15.390672,698.706172
0.231671,69.835693,16.087658,698.863564
0.241671,69.852763,16.784814,699.027926
0.251671,69.869776,17.482140,699.199261
0.261671,69.886733,18.179635,699.377570
0.271671,69.903635,18.877300,699.562854
0.281671,69.920516,19.575133,699.755116
0.291671,69.937381,20.273135,699.954358
0.301671,69.993515,20.971468,700.160580
0.311671,70.018054,21.670263,700.373789
0.321671,70.034807,22.369244,700.593986
0.331671,70.051506,23.068386,700.821174
0.341671,70.068152,23.767694,701.055354
0.351671,70.084745,24.467168,701.296529
0.361671,70.101386,25.166808,701.544699
0.371671,70.117871,25.866613,701.799866
0.381671,70.134404,26.566583,702.062032
0.391671,70.150883,27.266717,702.331198
0.401671,70.204817,27.967203,702.607368
0.411671,70.228788,28.668078,702.890544
0.421671,70.245159,29.369155,703.180730
0.431671,70.261512,30.070394,703.477928
0.441671,70.277742,30.771796,703.782139
0.451671,70.293919,31.473360,704.093365
0.461671,70.310145,32.175086,704.411607
0.471671,70.326319,32.876973,704.736867
0.481671,70.342338,33.579021,705.069147
0.491671,70.358404,34.281229,705.408449
0.501671,70.410371,34.983777,705.754774
0.511671,70.433809,35.686701,706.108126
0.521671,70.449767,36.389821,706.468509
0.531671,70.465640,37.093101,706.835923
0.541671,70.481559,37.796539,707.210371
0.551671,70.497322,38.500135,707.591855
0.561671,70.513136,39.203889,707.980375
0.571671,70.528897,39.907801,708.375933
0.581671,70.544572,40.611869,708.778532
0.591671,70.560226,41.316094,709.188172
0.601671,70.610220,42.020646,709.604855
0.603139,70.616675,42.124133,709.666630
0.604874,70.625140,42.246470,709.739936
0.606609,70.628676,42.368813,709.813454
0.610080,70.634427,42.613509,709.960915
0.613550,70.640031,42.858224,710.109226
0.617021,70.645243,43.102959,710.258385
