# Time (s), acceleration Magnitude (m/s²), Vz (m/s), Z (m)
0.000000,69.448262,0.000000,697.000000
0.005866,69.459637,0.401748,697.002357
0.011732,69.470216,0.803557,697.007070
0.021732,69.488223,1.488616,697.018531
0.031732,69.506212,2.173851,697.036844
0.041732,69.524147,2.859264,697.062009
0.051732,69.542015,3.544854,697.094030
0.061732,69.559845,4.230619,697.132907
0.071732,69.577577,4.916560,697.178643
0.081732,69.595333,5.602675,697.231239
0.091732,69.612980,6.288966,697.290697
0.101732,69.675915,6.975653,697.357021
0.111732,69.701621,7.662778,697.430213
0.121732,69.719199,8.350115,697.510277
0.131732,69.736683,9.037626,697.597216
0.141732,69.754173,9.725309,697.691031
0.151732,69.771632,10.413165,697.791723
0.161732,69.788977,11.101192,697.899295
0.171732,69.806334,11.789390,698.013748
0.181732,69.823629,12.477759,698.135083
0.191732,69.840861,13.166298,698.263304
0.201732,69.899568,13.855177,698.398411
0.211732,69.924337,14.544530,698.540409
0.221732,69.941501,15.234068,698.689302
0.231732,69.958633,15.923769,698.845091
0.241732,69.975705,16.613638,699.007778
0.251732,69.992720,17.303676,699.177364
0.261732,70.009686,17.993881,699.353852
0.271732,70.026595,18.684253,699.537243
0.281732,70.043473,19.374792,699.727538
0.291732,70.060341,20.065497,699.924739
0.301732,70.116777,20.756563,700.128850
0.311732,70.141009,21.448027,700.339873
0.321732,70.157759,22.139693,700.557811
0.331732,70.174452,22.831524,700.782667
0.341732,70.191090,23.523519,701.014443
0.351732,70.207672,24.215678,701.253139
0.361732,70.224303,24.908001,701.498757
0.371732,70.240776,25.600487,701.751299
0.381732,70.257296,26.293136,702.010767
0.391732,70.273760,26.985947,702.277162
0.401732,70.327971,27.679107,702.550488
0.411732,70.351630,28.372650,702.830746
0.421732,70.367975,29.066391,703.117942
0.431732,70.384313,29.760293,703.412075
0.441732,70.400522,30.454355,703.713148
0.451732,70.416676,31.148577,704.021163
0.461732,70.432876,31.842959,704.336121
0.471732,70.449023,32.537500,704.658023
0.481732,70.465014,33.232199,704.986871
0.491732,70.481052,33.927056,705.322668
0.501732,70.533266,34.622250,705.665414
0.511732,70.556402,35.317815,706.015114
0.521732,70.572321,36.013573,706.371771
0.531732,70.588158,36.709487,706.735387
0.541732,70.604044,37.405558,707.105962
0.551732,70.619772,38.101784,707.483499
0.561732,70.635546,38.798166,707.867998
0.571732,70.651268,39.494703,708.259463
0.581732,70.666909,40.191395,708.657893
0.591732,70.682524,40.888241,709.063291
0.601732,70.732735,41.585411,709.475660
0.602611,70.736801,41.646675,709.512216
0.605915,70.770147,41.876126,709.650574
0.609219,70.775826,42.105595,709.789689
0.615826,70.786069,42.564569,710.069436
0.622434,70.796191,43.023611,710.352217
0.629042,70.806489,43.482724,710.638031
0.639042,70.821513,44.177649,711.076333
0.649042,70.836809,44.872738,711.521585
0.659042,70.851682,45.567995,711.973788
0.669042,70.866585,46.263421,712.432945
0.679042,70.881507,46.959020,712.899058
0.689042,70.896159,47.654794,713.372127
0.699042,70.913800,48.350758,713.852154
0.709042,70.965440,49.047076,714.339143
0.719042,70.980213,49.743819,714.833097
0.729042,70.994529,50.440720,715.334020
0.739042,71.008762,51.137808,715.841912
0.749042,71.022919,51.835086,716.356777
0.759042,71.037271,52.532558,716.878615
0.769042,71.051221,53.230225,717.407429
0.779042,71.065164,53.928089,717.943220
0.789042,71.079144,54.626152,718.485991
0.799042,71.095547,55.324427,719.035744
0.809042,71.145011,56.023069,719.592481
0.819042,71.159195,56.722149,720.156207
0.829042,71.172661,57.421408,720.726924
0.839042,71.186081,58.120872,721.304636
0.849042,71.199778,58.820544,721.889343
0.859042,71.213346,59.520426,722.481047
0.869042,71.226485,60.220518,723.079752
0.879042,71.240146,60.920820,723.685458
0.889042,71.253376,61.621334,724.298169
0.899042,71.269023,62.322069,724.917886
0.909042,71.317000,63.023175,725.544612
0.919042,71.330081,63.724718,726.178351
0.929042,71.343387,64.426444,726.819106
0.939042,71.356673,65.128382,727.466880
0.949042,71.369470,65.830531,728.121675
0.959042,71.382523,66.532887,728.783492
0.969042,71.395625,67.235453,729.452333
0.979042,71.408565,67.938226,730.128201
0.989042,71.421724,68.641206,730.811098
0.999042,71.437153,69.344402,731.501026
1.009042,71.483176,70.047955,732.197988
1.019042,71.496335,70.751925,732.901987
1.029042,71.509429,71.456071,733.613027
1.039042,71.522447,72.160415,734.331109
1.049042,71.535388,72.864956,735.056236
1.059042,71.548295,73.569690,735.788409
