# Time (s), acceleration Magnitude (m/s²), Vz (m/s), Z (m)
0.000000,69.552462,0.000000,697.000000
0.005894,69.563875,0.399876,697.002357
0.011787,69.574487,0.799813,697.007070
0.021787,69.592478,1.478501,697.018462
0.031787,69.610445,2.157364,697.036641
0.041787,69.628366,2.836403,697.061610
0.051787,69.646220,3.515616,697.093370
0.061787,69.664024,4.195002,697.131923
0.071787,69.681733,4.874562,697.177271
0.081787,69.699465,5.554295,697.229415
0.091787,69.717090,6.234200,697.288358
0.101787,69.780305,6.914500,697.354101
0.111787,69.805673,7.595231,697.426650
0.121787,69.823217,8.276172,697.506007
0.131787,69.840673,8.957283,697.592174
0.141787,69.858139,9.638565,697.685154
0.151787,69.875575,10.320017,697.784947
0.161787,69.892887,11.001638,697.891555
0.171787,69.910217,11.683429,698.004980
0.181787,69.927485,12.365388,698.125224
0.191787,69.944691,13.047515,698.252289
0.201787,70.003671,13.729980,698.386176
0.211787,70.028120,14.412913,698.526890
0.221787,70.045265,15.096028,698.674434
0.231787,70.062372,15.779303,698.828811
0.241787,70.079420,16.462745,698.990021
0.251787,70.096415,17.146353,699.158067
0.261787,70.113359,17.830127,699.332949
0.271787,70.130246,18.514066,699.514670
0.281787,70.147097,19.198169,699.703231
0.291787,70.163950,19.882436,699.898634
0.301787,70.220640,20.567030,700.100881
0.311787,70.244580,21.252049,700.309976
0.321787,70.261311,21.937267,700.525923
0.331787,70.277987,22.622648,700.748722
0.341787,70.294608,23.308191,700.978377
0.351787,70.311174,23.993895,701.214887
0.361787,70.327789,24.679762,701.458255
0.371787,70.344248,25.365790,701.708483
0.381787,70.360754,26.051979,701.965572
0.391787,70.377206,26.738328,702.229524
0.401787,70.431668,27.425023,702.500340
0.411787,70.455053,28.112098,702.778026
0.421787,70.471382,28.799367,703.062583
0.431787,70.487717,29.486795,703.354014
0.441787,70.503918,30.174381,703.652320
0.451787,70.520065,30.862126,703.957502
0.461787,70.536259,31.550028,704.269563
0.471787,70.552401,32.238087,704.588504
0.481787,70.568388,32.926304,704.914326
0.491787,70.584424,33.614676,705.247031
0.501787,70.636882,34.303383,705.586621
0.511787,70.659778,34.992457,705.933100
0.521787,70.675692,35.681721,706.286471
0.531787,70.691531,36.371139,706.646735
0.541787,70.707421,37.060712,707.013895
0.551787,70.723153,37.750439,707.387950
0.561787,70.738934,38.440320,707.768904
0.571787,70.754663,39.130354,708.156757
0.581787,70.770319,39.820542,708.551512
0.591787,70.785945,40.510882,708.953169
0.601787,70.836397,41.201544,709.361731
0.602165,70.838315,41.227630,709.377292
0.606383,70.884546,41.517093,709.552435
0.610602,70.891742,41.806586,709.728799
