# Time (s), acceleration Magnitude (m/s²), Vz (m/s), Z (m)
0.000000,69.356316,0.000000,697.000000
0.005842,69.367642,0.403394,697.002357
0.011684,69.378177,0.806850,697.007070
0.021684,69.396174,1.497535,697.018592
0.031684,69.414156,2.188398,697.037022
0.041684,69.432093,2.879441,697.062361
0.051684,69.449959,3.570662,697.094612
0.061684,69.467789,4.262060,697.133775
0.071684,69.485516,4.953636,697.179854
0.081684,69.503266,5.645387,697.232849
0.091684,69.520900,6.337316,697.292762
0.101684,69.583547,7.029643,697.359597
0.111684,69.609514,7.722412,697.433358
0.121684,69.627086,8.415397,697.514047
0.131684,69.644559,9.108557,697.601666
0.141684,69.662033,9.801891,697.696219
0.151684,69.679480,10.495398,697.797705
0.161684,69.696818,11.189079,697.906127
0.171684,69.714163,11.882932,698.021487
0.181684,69.731446,12.576958,698.143787
0.191684,69.748667,13.271155,698.273027
0.201684,69.807105,13.965695,698.409211
0.211684,69.832120,14.660712,698.552343
0.221684,69.849266,15.355917,698.702426
0.231684,69.866386,16.051287,698.859462
0.241684,69.883446,16.746826,699.023452
0.251684,69.900450,17.442536,699.194399
0.261684,69.917404,18.138414,699.372304
0.271684,69.934300,18.834461,699.557168
0.281684,69.951171,19.530676,699.748994
0.291684,69.968021,20.227058,699.947783
0.301684,70.024207,20.923804,700.153537
0.311684,70.048665,21.620952,700.366261
0.321684,70.065403,22.318304,700.585957
0.331684,70.082084,23.015823,700.812628
0.341684,70.098709,23.713508,701.046274
0.351684,70.115280,24.411358,701.286899
0.361684,70.131898,25.109373,701.534502
0.371684,70.148358,25.807552,701.789087
0.381684,70.164866,26.505896,702.050654
0.391684,70.181318,27.204404,702.319205
0.401684,70.235287,27.903262,702.594743
0.411684,70.259162,28.602508,702.877272
0.421684,70.275500,29.301954,703.166795
0.431684,70.291821,30.001562,703.463312
0.441684,70.308017,30.701332,703.766827
0.451684,70.324158,31.401264,704.077340
0.461684,70.340346,32.101356,704.394853
0.471684,70.356480,32.801609,704.719368
0.481684,70.372457,33.502021,705.050886
0.491684,70.388483,34.202593,705.389409
0.501684,70.440468,34.903504,705.734939
0.511684,70.463801,35.604789,706.087481
0.521684,70.479711,36.306270,706.447036
0.531684,70.495535,37.007909,706.813607
0.541684,70.511407,37.709705,707.187195
0.551684,70.527120,38.411659,707.567802
0.561684,70.542881,39.113769,707.955429
0.571684,70.558588,39.816036,708.350078
0.581684,70.574210,40.518459,708.751750
0.591684,70.589810,41.221037,709.160448
0.601684,70.639804,41.923941,709.576173
0.603008,70.645768,42.016993,709.631713
0.605811,70.665326,42.213763,709.750037
0.608614,70.670373,42.410547,709.868913
0.614219,70.679348,42.804138,710.107767
0.619825,70.687866,43.197777,710.348828
0.625431,70.696657,43.591463,710.592096
0.635431,70.712140,44.293848,711.031523
0.645431,70.727296,44.996389,711.477974
0.655431,70.742713,45.699088,711.931451
0.665431,70.757736,46.401951,712.391956
0.675431,70.772646,47.104976,712.859490
0.685431,70.787549,47.808170,713.334056
0.695431,70.802603,48.511535,713.815654
0.705431,70.856314,49.215238,714.304288
0.715431,70.871783,49.919350,714.799961
0.725431,70.886260,50.623647,715.302676
0.735431,70.900499,51.328127,715.812435
0.745431,70.914722,52.032793,716.329239
0.755431,70.928813,52.737650,716.853091
0.765431,70.942841,53.442699,717.383993
0.775431,70.956634,54.147945,717.921946
0.785431,70.970357,54.853390,718.466952
0.795431,70.984120,55.559037,719.019015
0.805431,71.035429,56.265078,719.578135
0.815431,71.049669,56.971520,720.144318
0.825431,71.062864,57.678177,720.717567
0.835431,71.076052,58.385046,721.297883
0.845431,71.089229,59.092132,721.885269
0.855431,71.102297,59.799437,722.479727
0.865431,71.115306,60.506965,723.081259
0.875431,71.128110,61.214716,723.689867
0.885431,71.140703,61.922692,724.305554
0.895431,71.153353,62.630894,724.928322
0.905431,71.202340,63.339477,725.558173
0.915431,71.215685,64.048536,726.195113
0.925431,71.227821,64.757802,726.839145
0.935431,71.240385,65.467302,727.490270
0.942991,71.249451,66.003823,727.987214
0.950551,71.258601,66.540478,728.488215
0.958111,71.267915,67.077267,728.993273
0.968111,71.280068,67.787538,729.667597
0.978111,71.291907,68.498044,730.349025
0.988111,71.304053,69.208784,731.037559
0.998111,71.316187,69.919760,731.733201
1.008111,71.363621,70.631119,732.435955
1.018111,71.376104,71.342949,733.145825
1.028111,71.387943,72.054983,733.862815
1.038111,71.400046,72.767247,734.586926
1.048111,71.411867,73.479739,735.318160
1.058111,71.423934,74.192456,736.056521
1.068111,71.435884,74.905397,736.802010
1.078111,71.447880,75.618558,737.554630
1.088111,71.460157,76.331938,738.314382
1.098111,71.471990,77.045534,739.081269
1.108111,71.518515,77.759528,739.855295
1.118111,71.531080,78.473852,740.636461
1.128111,71.543153,79.188423,741.424772
1.138111,71.555566,79.903202,742.220230
1.148111,71.567649,80.618173,743.022837
1.158111,71.580055,81.333337,743.832594
1.168111,71.592378,82.048693,744.649504
1.178111,71.604788,82.764239,745.473569
1.188111,71.617386,83.479972,746.304790
1.198111,71.630089,84.195886,747.143169
1.208111,71.675859,84.912157,747.988709
1.218111,71.688933,85.628717,748.841413
1.228111,71.701871,86.345485,749.701284
1.238111,71.714752,87.062421,750.568323
1.248111,71.727734,87.779512,751.442532
1.258111,71.740939,88.496754,752.323914
1.268111,71.754058,89.214145,753.212468
1.278111,71.767001,89.931682,754.108197
1.288111,71.780224,90.649361,755.011102
1.298111,71.793555,91.367182,755.921185
1.308111,71.838513,92.085292,756.838447
