Format:,1.0,,Num Col:,36,,Alt units:,feet,,Vel units:,feet/sec,,Acc units:,G's,,Dist units:,feet,,,,,,,,,,,,,,,,,,,
Launch Date:,,"Mon Apr 20 2026",,,,,,,Device Type:,,Receiver,,,,,,,Booster Burnout:,,4.63,sec,,Apogee:,,27.2,sec,,,,,,,,,
Flyer's name:,,"",,,,,,,Serial Number:,,Mx220D0633,,,,,,,Stage-2 Ignition:,,NA,sec,,Apogee Deploy:,,27.2,sec,,,,,,,,,
Rocket name:,,"A",,,,,,,Firmware:,,7.10.0.24,,,,,,,Stage-2 Burnout:,,NA,sec,,Main Deploy:,,123.4,sec,,,,,,,,,
Motor:,,"",,,,,,,Gyro Data Available:,,No,,,,,,,Stage-3 Ignition:,,NA,sec,,Touch Down:,,200.0,sec,,,,,,,,,
Launch site:,,"",,,,,,,,,,,,,,,,Stage-3 Burnout:,,NA,sec,,User Defined:,,NA,sec,,,,,,,,,
Comment:,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flight,Acc,Acc,Acc,Baro,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,,,,TelemPro,Pyro,Pyro,Pyro,Gyro,Roll,Pitch,Yaw,Roll,Roll,Quat,Quat,Quat,Quat,LineOfSight,DownLink
time,acceleration,velocity,altitude,altitude,altitude,altitude,3D velocity,3D velocity,vertical vel,ground speed,heading,tilt,latitude,longitude,number,fix,UTC,UTC,UTC,time,External,External,Real Time,tilt,rate,rate,rate,angle,angle_UW,W,X,Y,Z,Distance,SignalStrength
sec,G's,feet/sec,feet AGL,feet AGL,feet AGL,feet MSL,feet/sec,Mach,feet/sec,feet/sec,degrees,degrees,degrees,degrees,of sat's,status,hours,minutes,seconds,stamp,Input-1,Input-2,Status Bits,degress,deg/sec,deg/sec,deg/sec,degrees,degress,unitless,unitless,unitless,unitless,feet,dBm
58.60,-1.003906,0.00,12419.00,NA,8864.00,9310.00,126.59,0.117,-112.00,59.00,278,152.22,40.81919167,-73.96560667,15,6,23,29,42.20,57005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9639,-41
59.00,-0.972656,0.00,12419.00,NA,8820.00,9266.00,126.59,0.117,-112.00,59.00,278,152.22,40.81920167,-73.96569000,15,6,23,29,42.60,57045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9602,-41
59.20,-0.988281,0.00,12419.00,NA,8798.00,9244.00,126.59,0.117,-112.00,59.00,278,152.22,40.81920500,-73.96573333,15,6,23,29,42.80,57065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9583,-41
59.40,-1.019531,0.00,12419.00,NA,8775.00,9221.00,126.59,0.117,-112.00,59.00,278,152.22,40.81921000,-73.96577500,15,6,23,29,43.00,57085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9564,-41
59.60,-1.003906,0.00,12419.00,NA,8753.00,9199.00,126.59,0.117,-112.00,59.00,278,152.22,40.81921500,-73.96581833,15,6,23,29,43.20,57105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9546,-41
60.00,-1.003906,0.00,12419.00,NA,8709.00,9155.00,126.59,0.117,-112.00,59.00,278,152.22,40.81922333,-73.96590333,15,6,23,29,43.60,57145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9509,-41
60.20,-1.003906,0.00,12419.00,NA,8686.00,9132.00,125.71,0.116,-111.00,59.00,278,152.01,40.81922833,-73.96594500,15,6,23,29,43.80,57165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9490,-41
60.40,-1.003906,0.00,12419.00,NA,8664.00,9110.00,125.71,0.116,-111.00,59.00,278,152.01,40.81923333,-73.96598667,15,6,23,29,44.00,57185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9472,-41
60.60,-1.035156,0.00,12419.00,NA,8642.00,9088.00,125.71,0.116,-111.00,59.00,278,152.01,40.81923667,-73.96603000,15,6,23,29,44.20,57205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9453,-41
61.00,-1.019531,0.00,12419.00,NA,8597.00,9043.00,125.71,0.116,-111.00,59.00,278,152.01,40.81924667,-73.96611500,15,6,23,29,44.60,57245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9416,-41
61.20,-1.003906,0.00,12419.00,NA,8575.00,9021.00,125.71,0.116,-111.00,59.00,278,152.01,40.81925000,-73.96615667,15,6,23,29,44.80,57265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9398,-41
61.40,-0.988281,0.00,12419.00,NA,8553.00,8999.00,125.71,0.116,-111.00,59.00,278,152.01,40.81925500,-73.96619833,15,6,23,29,45.00,57285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9380,-41
61.60,-1.003906,0.00,12419.00,NA,8531.00,8977.00,125.71,0.116,-111.00,59.00,278,152.01,40.81926000,-73.96624167,15,6,23,29,45.20,57305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9362,-41
62.00,-0.988281,0.00,12419.00,NA,8486.00,8932.00,125.71,0.116,-111.00,59.00,278,152.01,40.81926833,-73.96632667,15,6,23,29,45.60,57345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9325,-41
62.20,-1.019531,0.00,12419.00,NA,8464.00,8910.00,125.71,0.116,-111.00,59.00,278,152.01,40.81927333,-73.96636833,15,6,23,29,45.80,57365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9307,-41
62.40,-0.988281,0.00,12419.00,NA,8442.00,8888.00,125.71,0.116,-111.00,59.00,278,152.01,40.81927833,-73.96641000,15,6,23,29,46.00,57385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9289,-41
62.60,-1.003906,0.00,12419.00,NA,8420.00,8866.00,125.71,0.116,-111.00,59.00,278,152.01,40.81928167,-73.96645333,15,6,23,29,46.20,57405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9271,-41
63.00,-1.003906,0.00,12419.00,NA,8376.00,8822.00,125.71,0.116,-111.00,59.00,278,152.01,40.81929167,-73.96653833,16,6,23,29,46.60,57445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9236,-41
63.20,-1.003906,0.00,12419.00,NA,8353.00,8799.00,125.71,0.116,-111.00,59.00,278,152.01,40.81929500,-73.96658000,16,6,23,29,46.80,57465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9217,-41
63.40,-0.988281,0.00,12419.00,NA,8331.00,8777.00,125.71,0.116,-111.00,59.00,278,152.01,40.81930000,-73.96662167,16,6,23,29,47.00,57485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9199,-41
63.60,-0.988281,0.00,12419.00,NA,8309.00,8755.00,125.71,0.116,-111.00,59.00,278,152.01,40.81930500,-73.96666500,16,6,23,29,47.20,57505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9182,-41
64.00,-1.003906,0.00,12419.00,NA,8265.00,8711.00,125.71,0.116,-111.00,59.00,278,152.01,40.81931333,-73.96675000,16,6,23,29,47.60,57545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9146,-41
64.20,-1.003906,0.00,12419.00,NA,8243.00,8689.00,125.71,0.116,-111.00,59.00,278,152.01,40.81931833,-73.96679167,16,6,23,29,47.80,57565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9129,-41
64.40,-1.003906,0.00,12419.00,NA,8221.00,8667.00,125.71,0.116,-111.00,59.00,278,152.01,40.81932167,-73.96683333,16,6,23,29,48.00,57585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9111,-41
64.60,-0.988281,0.00,12419.00,NA,8199.00,8645.00,125.71,0.116,-111.00,59.00,278,152.01,40.81932667,-73.96687667,17,6,23,29,48.20,57605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9089,-41
65.00,-0.988281,0.00,12419.00,NA,8154.00,8600.00,125.71,0.116,-111.00,59.00,278,152.01,40.81933667,-73.96696167,17,6,23,29,48.60,57645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9053,-41
65.20,-0.988281,0.00,12419.00,NA,8132.00,8578.00,125.71,0.116,-111.00,59.00,278,152.01,40.81934000,-73.96700333,17,6,23,29,48.80,57665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9036,-41
65.40,-0.988281,0.00,12419.00,NA,8110.00,8556.00,124.82,0.115,-110.00,59.00,278,151.79,40.81934500,-73.96704667,17,6,23,29,49.00,57685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9018,-41
65.60,-0.988281,0.00,12419.00,NA,8088.00,8534.00,124.82,0.115,-110.00,59.00,278,151.79,40.81935000,-73.96708833,17,6,23,29,49.20,57705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9001,-41
66.00,-0.988281,0.00,12419.00,NA,8044.00,8490.00,124.82,0.115,-110.00,59.00,278,151.79,40.81935833,-73.96717333,17,6,23,29,49.60,57745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8966,-41
66.20,-1.003906,0.00,12419.00,NA,8022.00,8468.00,124.82,0.115,-110.00,59.00,278,151.79,40.81936333,-73.96721500,17,6,23,29,49.80,57765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8949,-41
66.40,-1.003906,0.00,12419.00,NA,8000.00,8446.00,124.82,0.115,-110.00,59.00,278,151.79,40.81936667,-73.96725833,17,6,23,29,50.00,57785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8931,-41
66.60,-1.003906,0.00,12419.00,NA,7978.00,8424.00,124.82,0.115,-110.00,59.00,278,151.79,40.81937167,-73.96730000,17,6,23,29,50.20,57805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8914,-41
67.00,-0.988281,0.00,12419.00,NA,7934.00,8380.00,124.82,0.115,-110.00,59.00,278,151.79,40.81938167,-73.96738500,17,6,23,29,50.60,57845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8880,-41
67.20,-1.003906,0.00,12419.00,NA,7912.00,8358.00,124.82,0.115,-110.00,59.00,278,151.79,40.81938500,-73.96742667,17,6,23,29,50.80,57865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8863,-41
67.40,-1.003906,0.00,12419.00,NA,7890.00,8336.00,124.82,0.115,-110.00,59.00,278,151.79,40.81939000,-73.96747000,17,6,23,29,51.00,57885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8845,-41
67.60,-1.003906,0.00,12419.00,NA,7868.00,8314.00,124.82,0.115,-110.00,59.00,278,151.79,40.81939500,-73.96751167,17,6,23,29,51.20,57905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8828,-41
68.00,-0.988281,0.00,12419.00,NA,7825.00,8271.00,124.82,0.115,-110.00,59.00,278,151.79,40.81940333,-73.96759667,17,6,23,29,51.60,57945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8795,-41
68.20,-1.003906,0.00,12419.00,NA,7803.00,8249.00,124.82,0.115,-110.00,59.00,278,151.79,40.81940833,-73.96763833,17,6,23,29,51.80,57965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8778,-41
68.40,-0.988281,0.00,12419.00,NA,7781.00,8227.00,124.82,0.115,-110.00,59.00,278,151.79,40.81941167,-73.96768167,17,6,23,29,52.00,57985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8761,-41
68.60,-0.988281,0.00,12419.00,NA,7759.00,8205.00,124.82,0.115,-110.00,59.00,278,151.79,40.81941667,-73.96772333,17,6,23,29,52.20,58005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8744,-41
69.00,-0.988281,0.00,12419.00,NA,7715.00,8161.00,124.82,0.115,-110.00,59.00,278,151.79,40.81942667,-73.96780833,17,6,23,29,52.60,58045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8711,-41
69.20,-1.003906,0.00,12419.00,NA,7693.00,8139.00,124.82,0.115,-110.00,59.00,278,151.79,40.81943000,-73.96785000,16,6,23,29,52.80,58065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8694,-41
69.40,-1.003906,0.00,12419.00,NA,7671.00,8117.00,124.82,0.115,-110.00,59.00,278,151.79,40.81943500,-73.96789333,16,6,23,29,53.00,58085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8678,-41
69.60,-0.988281,0.00,12419.00,NA,7649.00,8095.00,124.82,0.115,-110.00,59.00,278,151.79,40.81944000,-73.96793500,16,6,23,29,53.20,58105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8661,-41
70.00,-0.988281,0.00,12419.00,NA,7605.00,8051.00,124.82,0.115,-110.00,59.00,278,151.79,40.81944833,-73.96802000,16,6,23,29,53.60,58145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8628,-41
70.20,-1.003906,0.00,12419.00,NA,7583.00,8029.00,124.82,0.115,-110.00,59.00,278,151.79,40.81945333,-73.96806167,16,6,23,29,53.80,58165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8611,-41
70.40,-1.003906,0.00,12419.00,NA,7562.00,8008.00,124.82,0.115,-110.00,59.00,278,151.79,40.81945667,-73.96810500,16,6,23,29,54.00,58185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8595,-41
70.60,-1.003906,0.00,12419.00,NA,7540.00,7986.00,124.82,0.115,-110.00,59.00,278,151.79,40.81946167,-73.96814667,16,6,23,29,54.20,58205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8579,-41
71.00,-1.003906,0.00,12419.00,NA,7496.00,7942.00,123.94,0.114,-109.00,59.00,278,151.57,40.81947167,-73.96823167,16,6,23,29,54.60,58245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8546,-41
71.20,-1.019531,0.00,12419.00,NA,7474.00,7920.00,123.94,0.114,-109.00,59.00,278,151.57,40.81947500,-73.96827333,16,6,23,29,54.80,58265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8530,-41
71.40,-1.003906,0.00,12419.00,NA,7453.00,7899.00,123.94,0.114,-109.00,59.00,278,151.57,40.81948000,-73.96831667,15,6,23,29,55.00,58285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8515,-41
71.60,-0.988281,0.00,12419.00,NA,7431.00,7877.00,123.94,0.114,-109.00,59.00,278,151.57,40.81948500,-73.96835833,15,6,23,29,55.20,58305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8498,-41
72.00,-1.019531,0.00,12419.00,NA,7387.00,7833.00,123.94,0.114,-109.00,59.00,278,151.57,40.81949333,-73.96844333,15,6,23,29,55.60,58345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8466,-41
72.20,-0.972656,0.00,12419.00,NA,7365.00,7811.00,123.94,0.114,-109.00,59.00,278,151.57,40.81949833,-73.96848500,15,6,23,29,55.80,58365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8450,-41
72.40,-0.988281,0.00,12419.00,NA,7344.00,7790.00,123.94,0.114,-109.00,59.00,278,151.57,40.81950167,-73.96852833,15,6,23,29,56.00,58385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8434,-41
72.60,-0.988281,0.00,12419.00,NA,7322.00,7768.00,123.94,0.114,-109.00,59.00,278,151.57,40.81950667,-73.96857000,15,6,23,29,56.20,58405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8418,-41
73.00,-0.988281,0.00,12419.00,NA,7278.00,7724.00,123.94,0.114,-109.00,59.00,278,151.57,40.81951500,-73.96865500,15,6,23,29,56.60,58445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8386,-41
73.20,-1.003906,0.00,12419.00,NA,7256.00,7702.00,123.94,0.114,-109.00,59.00,278,151.57,40.81952000,-73.96869667,15,6,23,29,56.80,58465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8371,-41
73.40,-0.988281,0.00,12419.00,NA,7235.00,7681.00,123.94,0.114,-109.00,59.00,278,151.57,40.81952500,-73.96874000,15,6,23,29,57.00,58485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8355,-41
73.60,-1.035156,0.00,12419.00,NA,7213.00,7659.00,123.94,0.114,-109.00,59.00,278,151.57,40.81953000,-73.96878167,15,6,23,29,57.20,58505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8340,-40
74.00,-0.988281,0.00,12419.00,NA,7169.00,7615.00,123.94,0.114,-109.00,59.00,278,151.57,40.81953833,-73.96886667,15,6,23,29,57.60,58545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8308,-41
74.20,-0.988281,0.00,12419.00,NA,7148.00,7594.00,123.94,0.114,-109.00,59.00,278,151.57,40.81954333,-73.96890833,15,6,23,29,57.80,58565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8293,-41
74.40,-0.988281,0.00,12419.00,NA,7126.00,7572.00,123.94,0.114,-109.00,59.00,278,151.57,40.81954667,-73.96895167,15,6,23,29,58.00,58585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8278,-41
74.60,-0.988281,0.00,12419.00,NA,7104.00,7550.00,123.94,0.114,-109.00,59.00,278,151.57,40.81955167,-73.96899333,15,6,23,29,58.20,58605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8263,-41
75.00,-0.988281,0.00,12419.00,NA,7061.00,7507.00,123.94,0.114,-109.00,59.00,278,151.57,40.81956000,-73.96907833,16,6,23,29,58.60,58645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8233,-41
75.20,-1.019531,0.00,12419.00,NA,7039.00,7485.00,123.94,0.114,-109.00,59.00,278,151.57,40.81956500,-73.96912000,16,6,23,29,58.80,58665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8217,-41
75.40,-1.003906,0.00,12419.00,NA,7017.00,7463.00,123.94,0.114,-109.00,59.00,278,151.57,40.81957000,-73.96916333,16,6,23,29,59.00,58685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8202,-41
75.60,-0.972656,0.00,12419.00,NA,6996.00,7442.00,123.94,0.114,-109.00,59.00,278,151.57,40.81957500,-73.96920500,16,6,23,29,59.20,58705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8188,-41
76.00,-1.003906,0.00,12419.00,NA,6952.00,7398.00,123.94,0.114,-109.00,59.00,278,151.57,40.81958333,-73.96929000,16,6,23,29,59.60,58745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8157,-41
76.20,-1.019531,0.00,12419.00,NA,6931.00,7377.00,123.07,0.113,-108.00,59.00,278,151.35,40.81958833,-73.96933167,16,6,23,29,59.80,58765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8143,-41
76.40,-1.003906,0.00,12419.00,NA,6909.00,7355.00,123.07,0.113,-108.00,59.00,278,151.35,40.81959167,-73.96937500,16,6,23,30,0.00,58785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8127,-41
76.60,-1.003906,0.00,12419.00,NA,6887.00,7333.00,123.07,0.113,-108.00,59.00,278,151.35,40.81959667,-73.96941667,15,6,23,30,0.20,58805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8112,-41
77.00,-1.003906,0.00,12419.00,NA,6844.00,7290.00,123.07,0.113,-108.00,59.00,278,151.35,40.81960500,-73.96950167,15,6,23,30,0.60,58845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8083,-41
77.20,-0.988281,0.00,12419.00,NA,6823.00,7269.00,123.07,0.113,-108.00,59.00,278,151.35,40.81961000,-73.96954500,15,6,23,30,0.80,58865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8069,-41
77.40,-1.035156,0.00,12419.00,NA,6801.00,7247.00,123.07,0.113,-108.00,59.00,278,151.35,40.81961500,-73.96958667,15,6,23,30,1.00,58885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8054,-41
77.60,-0.988281,0.00,12419.00,NA,6779.00,7225.00,123.07,0.113,-108.00,59.00,278,151.35,40.81962000,-73.96962833,15,6,23,30,1.20,58905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8040,-41
78.00,-1.019531,0.00,12419.00,NA,6736.00,7182.00,123.07,0.113,-108.00,59.00,278,151.35,40.81962833,-73.96971333,15,6,23,30,1.60,58945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8011,-41
78.20,-1.019531,0.00,12419.00,NA,6715.00,7161.00,123.07,0.113,-108.00,59.00,278,151.35,40.81963333,-73.96975667,15,6,23,30,1.80,58965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7997,-41
78.40,-1.019531,0.00,12419.00,NA,6693.00,7139.00,123.07,0.113,-108.00,59.00,278,151.35,40.81963667,-73.96979833,15,6,23,30,2.00,58985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7982,-41
78.60,-0.988281,0.00,12419.00,NA,6672.00,7118.00,123.07,0.113,-108.00,59.00,278,151.35,40.81964167,-73.96984000,15,6,23,30,2.20,59005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7968,-41
79.00,-0.988281,0.00,12419.00,NA,6628.00,7074.00,123.07,0.113,-108.00,59.00,278,151.35,40.81965000,-73.96992500,15,6,23,30,2.60,59045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7939,-41
79.20,-0.972656,0.00,12419.00,NA,6607.00,7053.00,123.07,0.113,-108.00,59.00,278,151.35,40.81965500,-73.96996833,16,6,23,30,2.80,59065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7926,-41
79.40,-0.988281,0.00,12419.00,NA,6585.00,7031.00,123.07,0.113,-108.00,59.00,278,151.35,40.81966000,-73.97001000,15,6,23,30,3.00,59085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7912,-41
79.60,-0.988281,0.00,12419.00,NA,6564.00,7010.00,123.07,0.113,-108.00,59.00,278,151.35,40.81966500,-73.97005167,15,6,23,30,3.20,59105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7898,-41
80.00,-0.988281,0.00,12419.00,NA,6521.00,6967.00,123.07,0.113,-108.00,59.00,278,151.35,40.81967333,-73.97013667,14,6,23,30,3.60,59145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7870,-41
80.20,-1.019531,0.00,12419.00,NA,6499.00,6945.00,123.07,0.113,-108.00,59.00,278,151.35,40.81967833,-73.97018000,16,6,23,30,3.80,59165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7856,-41
80.40,-0.988281,0.00,12419.00,NA,6477.00,6923.00,123.07,0.113,-108.00,59.00,278,151.35,40.81968167,-73.97022167,15,6,23,30,4.00,59185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7842,-41
80.60,-1.003906,0.00,12419.00,NA,6456.00,6902.00,123.07,0.113,-108.00,59.00,278,151.35,40.81968667,-73.97026333,15,6,23,30,4.20,59205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7829,-41
81.00,-1.003906,0.00,12419.00,NA,6413.00,6859.00,123.07,0.113,-108.00,59.00,278,151.35,40.81969500,-73.97034833,15,6,23,30,4.60,59245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7802,-41
81.20,-1.003906,0.00,12419.00,NA,6391.00,6837.00,123.07,0.113,-108.00,59.00,278,151.35,40.81970000,-73.97039167,15,6,23,30,4.80,59265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7788,-41
81.40,-1.003906,0.00,12419.00,NA,6370.00,6816.00,123.07,0.113,-108.00,59.00,278,151.35,40.81970500,-73.97043333,15,6,23,30,5.00,59285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7775,-41
81.60,-1.003906,0.00,12419.00,NA,6349.00,6795.00,123.07,0.113,-108.00,59.00,278,151.35,40.81970833,-73.97047500,15,6,23,30,5.20,59305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7762,-41
82.00,-1.003906,0.00,12419.00,NA,6306.00,6752.00,122.19,0.112,-107.00,59.00,278,151.13,40.81971833,-73.97056000,15,6,23,30,5.60,59345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7735,-41
82.20,-0.988281,0.00,12419.00,NA,6284.00,6730.00,122.19,0.112,-107.00,59.00,278,151.13,40.81972333,-73.97060333,15,6,23,30,5.80,59365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7722,-41
82.40,-0.988281,0.00,12419.00,NA,6263.00,6709.00,122.19,0.112,-107.00,59.00,278,151.13,40.81972667,-73.97064500,15,6,23,30,6.00,59385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7709,-41
82.60,-1.003906,0.00,12419.00,NA,6242.00,6688.00,122.19,0.112,-107.00,59.00,278,151.13,40.81973167,-73.97068833,15,6,23,30,6.20,59405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7696,-41
83.00,-0.988281,0.00,12419.00,NA,6199.00,6645.00,122.19,0.112,-107.00,59.00,278,151.13,40.81974000,-73.97077167,15,6,23,30,6.60,59445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7670,-41
83.20,-1.019531,0.00,12419.00,NA,6177.00,6623.00,122.19,0.112,-107.00,59.00,278,151.13,40.81974500,-73.97081500,14,6,23,30,6.80,59465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7657,-41
83.40,-1.003906,0.00,12419.00,NA,6156.00,6602.00,122.19,0.112,-107.00,59.00,278,151.13,40.81975000,-73.97085667,14,6,23,30,7.00,59485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7644,-41
83.60,-0.988281,0.00,12419.00,NA,6135.00,6581.00,122.19,0.112,-107.00,59.00,278,151.13,40.81975333,-73.97090000,14,6,23,30,7.20,59505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7632,-41
