Format:,1.0,,Num Col:,36,,Alt units:,feet,,Vel units:,feet/sec,,Acc units:,G's,,Dist units:,feet,,,,,,,,,,,,,,,,,,,
Launch Date:,,"Mon Apr 20 2026",,,,,,,Device Type:,,Receiver,,,,,,,Booster Burnout:,,4.63,sec,,Apogee:,,27.2,sec,,,,,,,,,
Flyer's name:,,"",,,,,,,Serial Number:,,Mx220D0633,,,,,,,Stage-2 Ignition:,,NA,sec,,Apogee Deploy:,,27.2,sec,,,,,,,,,
Rocket name:,,"A",,,,,,,Firmware:,,7.10.0.24,,,,,,,Stage-2 Burnout:,,NA,sec,,Main Deploy:,,123.4,sec,,,,,,,,,
Motor:,,"",,,,,,,Gyro Data Available:,,No,,,,,,,Stage-3 Ignition:,,NA,sec,,Touch Down:,,200.0,sec,,,,,,,,,
Launch site:,,"",,,,,,,,,,,,,,,,Stage-3 Burnout:,,NA,sec,,User Defined:,,NA,sec,,,,,,,,,
Comment:,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flight,Acc,Acc,Acc,Baro,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,,,,TelemPro,Pyro,Pyro,Pyro,Gyro,Roll,Pitch,Yaw,Roll,Roll,Quat,Quat,Quat,Quat,LineOfSight,DownLink
time,acceleration,velocity,altitude,altitude,altitude,altitude,3D velocity,3D velocity,vertical vel,ground speed,heading,tilt,latitude,longitude,number,fix,UTC,UTC,UTC,time,External,External,Real Time,tilt,rate,rate,rate,angle,angle_UW,W,X,Y,Z,Distance,SignalStrength
sec,G's,feet/sec,feet AGL,feet AGL,feet AGL,feet MSL,feet/sec,Mach,feet/sec,feet/sec,degrees,degrees,degrees,degrees,of sat's,status,hours,minutes,seconds,stamp,Input-1,Input-2,Status Bits,degress,deg/sec,deg/sec,deg/sec,degrees,degress,unitless,unitless,unitless,unitless,feet,dBm
-7.60,0.007812,0.00,0.00,NA,-3.00,443.00,0.00,0.000,0.00,0.00,104,0.00,40.80927000,-73.96221833,14,6,23,28,36.00,50385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,-41
-7.40,0.007812,0.00,0.00,NA,-2.00,444.00,0.00,0.000,0.00,0.00,104,0.00,40.80927000,-73.96222000,14,6,23,28,36.20,50405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,-41
-7.00,0.023438,0.00,0.00,NA,-2.00,444.00,1.00,0.001,-1.00,0.00,104,0.00,40.80927000,-73.96222167,15,6,23,28,36.60,50445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,-41
-6.80,0.007812,0.00,0.00,NA,-1.00,445.00,0.00,0.000,0.00,0.00,104,0.00,40.80927000,-73.96222333,15,6,23,28,36.80,50465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,-41
-6.60,-0.007812,0.00,0.00,NA,-1.00,445.00,0.00,0.000,0.00,0.00,104,0.00,40.80927000,-73.96222500,16,6,23,28,37.00,50485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,-41
-6.40,0.007812,0.00,0.00,NA,0.00,446.00,0.00,0.000,0.00,0.00,104,0.00,40.80927000,-73.96222667,16,6,23,28,37.20,50505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,-41
-6.00,-0.007812,0.00,0.00,NA,0.00,446.00,0.00,0.000,0.00,0.00,104,0.00,40.80927000,-73.96223000,16,6,23,28,37.60,50545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,-41
-5.80,-0.007812,0.00,0.00,NA,1.00,447.00,0.00,0.000,0.00,0.00,104,0.00,40.80927000,-73.96223000,15,6,23,28,37.80,50565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,-41
-5.60,-0.023438,-1.00,0.00,NA,1.00,447.00,1.00,0.001,-1.00,0.00,104,0.00,40.80927000,-73.96223167,15,6,23,28,38.00,50585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,-40
-5.40,0.007812,-1.00,0.00,NA,1.00,447.00,0.00,0.000,0.00,0.00,104,0.00,40.80927000,-73.96223167,15,6,23,28,38.20,50605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,-41
-5.00,0.007812,0.00,0.00,NA,1.00,447.00,1.00,0.001,-1.00,0.00,104,0.00,40.80926833,-73.96223333,14,6,23,28,38.60,50645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,-40
-4.80,0.007812,-1.00,0.00,NA,1.00,447.00,0.00,0.000,0.00,0.00,104,0.00,40.80926833,-73.96223500,14,6,23,28,38.80,50665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,-41
-4.60,0.007812,0.00,0.00,NA,1.00,447.00,1.00,0.001,-1.00,0.00,104,0.00,40.80926667,-73.96223500,14,6,23,28,39.00,50685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,-41
-4.40,-0.007812,0.00,0.00,NA,1.00,447.00,1.00,0.001,-1.00,0.00,104,0.00,40.80926667,-73.96223500,14,6,23,28,39.20,50705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,-41
-4.00,-0.007812,0.00,-1.00,NA,0.00,446.00,1.00,0.001,-1.00,0.00,104,0.00,40.80926500,-73.96223667,14,6,23,28,39.60,50745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,-41
-3.80,0.007812,0.00,-1.00,NA,0.00,446.00,1.00,0.001,-1.00,0.00,104,0.00,40.80926500,-73.96223667,14,6,23,28,39.80,50765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,-41
-3.60,-0.007812,0.00,-1.00,NA,0.00,446.00,1.00,0.001,-1.00,0.00,104,0.00,40.80926500,-73.96223667,14,6,23,28,40.00,50785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,-41
-3.40,-0.007812,0.00,0.00,NA,0.00,446.00,1.00,0.001,-1.00,0.00,104,0.00,40.80926333,-73.96223667,14,6,23,28,40.20,50805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,-41
-3.00,-0.007812,-1.00,-1.00,NA,-1.00,445.00,0.00,0.000,0.00,0.00,104,0.00,40.80926333,-73.96223667,14,6,23,28,40.60,50845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,-41
-2.80,-0.007812,-1.00,-1.00,NA,-1.00,445.00,0.00,0.000,0.00,0.00,104,0.00,40.80926167,-73.96223833,14,6,23,28,40.80,50865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,-41
-2.60,0.007812,-1.00,-1.00,NA,-1.00,445.00,0.00,0.000,0.00,0.00,104,0.00,40.80926167,-73.96223833,14,6,23,28,41.00,50885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,-41
-2.40,-0.007812,-1.00,-1.00,NA,-1.00,445.00,1.00,0.001,-1.00,0.00,104,0.00,40.80926167,-73.96223833,13,6,23,28,41.20,50905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,-41
-2.00,-0.007812,-1.00,-1.00,NA,-2.00,444.00,1.00,0.001,-1.00,0.00,104,0.00,40.80926000,-73.96223833,13,6,23,28,41.60,50945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,-41
-1.80,-0.007812,-1.00,-1.00,NA,-2.00,444.00,0.00,0.000,0.00,0.00,104,0.00,40.80926000,-73.96223833,13,6,23,28,41.80,50965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,-41
-1.60,0.007812,-1.00,-1.00,NA,-2.00,444.00,0.00,0.000,0.00,0.00,104,0.00,40.80925833,-73.96223833,13,6,23,28,42.00,50985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,-41
-1.40,0.023438,-1.00,-1.00,NA,-2.00,444.00,0.00,0.000,0.00,0.00,104,0.00,40.80925833,-73.96223833,13,6,23,28,42.20,51005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,-41
-1.00,-0.007812,-1.00,-1.00,NA,-3.00,443.00,1.00,0.001,0.00,1.00,104,0.00,40.80925833,-73.96223833,14,6,23,28,42.60,51045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,-41
-0.80,-0.027344,-1.00,-1.00,NA,-3.00,443.00,1.00,0.001,0.00,1.00,104,0.00,40.80925667,-73.96223833,13,6,23,28,42.80,51065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,-41
-0.60,-0.007812,-1.00,-1.00,NA,-3.00,443.00,0.00,0.000,0.00,0.00,104,0.00,40.80925667,-73.96223833,14,6,23,28,43.00,51085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,-41
-0.40,0.023438,-1.00,-1.00,NA,-4.00,442.00,0.00,0.000,0.00,0.00,104,0.00,40.80925500,-73.96223833,14,6,23,28,43.20,51105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,-41
0.00,-0.007812,-1.00,-1.00,NA,-5.00,441.00,1.00,0.001,-1.00,0.00,104,180.00,40.80925500,-73.96223833,14,6,23,28,43.60,51145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,-41
0.20,8.000000,47.00,3.00,NA,1.00,447.00,51.79,0.046,51.00,9.00,15,10.01,40.80925667,-73.96223667,14,6,23,28,43.80,51165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,-41
0.40,8.000000,98.00,18.00,NA,16.00,462.00,102.59,0.092,101.00,18.00,15,10.11,40.80926500,-73.96223500,15,6,23,28,44.00,51185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,-41
