Time (s),acceleration Magnitude (m/s²),Vz (m/s),Z (m),z
0.0,69.357916,0.0,697.0,698.286698775051
0.005843,69.369246,0.403363,697.002357,696.0286654444476
0.011685,69.379785,0.806788,697.00707,694.2554011134072
0.021685,69.397786,1.497366,697.018591,695.7783974935458
0.031685,69.415774,2.188123,697.037019,697.1274824039712
0.041685,69.433707,2.879058,697.062355,697.7549467180442
0.051685,69.451574,3.570172,697.094601,698.8540989907862
0.061685,69.469408,4.261464,697.133759,696.2679698905473
0.071685,69.487139,4.952932,697.179831,698.1651100756488
0.081685,69.504895,5.644578,697.232818,699.9467502937321
0.091685,69.522536,6.336399,697.292723,697.0811436358267
0.101685,69.585208,7.02862,697.359548,694.2569766285887
0.111685,69.611181,7.721282,697.433298,696.3235163900537
0.121685,69.628765,8.414161,697.513975,698.0279343405423
0.131685,69.64625,9.107214,697.601582,699.3817209990705
0.141685,69.663738,9.800441,697.69612,698.1458164768321
0.151685,69.6812,10.493843,697.797592,698.3906744582689
0.161685,69.698553,11.187417,697.905998,695.9251024643115
0.171685,69.715914,11.881164,698.021341,697.7086663988708
0.181685,69.733213,12.575084,698.143622,696.5666843817521
0.191685,69.75045,13.269176,698.272843,697.8429770901795
0.201685,69.808911,13.96361,698.409007,697.8304286534141
0.211685,69.833938,14.658521,698.552117,699.2003713070591
0.221685,69.851103,15.353621,698.702178,699.3409804978783
0.231685,69.868241,16.048886,698.85919,700.2192773566464
0.241685,69.88532,16.744321,699.023156,697.6233285703104
0.251685,69.902343,17.439925,699.194077,698.0060610632552
0.261685,69.919317,18.135698,699.371956,698.4323725335715
0.271685,69.936234,18.831641,699.556792,698.3929772303866
0.281685,69.953126,19.527751,699.748589,697.6031773571927
0.291685,69.969999,20.224029,699.947348,699.9617793668506
0.301685,70.02621,20.920671,700.153072,699.8732587545405
0.311685,70.050687,21.617715,700.365764,697.9641599411929
0.321685,70.067447,22.314964,700.585427,703.9099254252778
0.331685,70.084152,23.012379,700.812064,702.939441652847
0.341685,70.100801,23.70996,701.045675,699.0130088177469
0.351685,70.117395,24.407707,701.286264,700.9390631088469
0.361685,70.134038,25.105619,701.53383,700.4972228024075
0.371685,70.150524,25.803696,701.788377,701.5551587088188
0.381685,70.167056,26.501938,702.049905,701.8072528151476
0.391685,70.183535,27.200343,702.318416,702.2089371863004
0.401685,70.237535,27.899099,702.593913,700.9055221852204
0.411685,70.261432,28.598243,702.8764,702.7179213984298
0.421685,70.277797,29.297588,703.165879,701.8493386236751
0.431685,70.294145,29.997095,703.462352,703.2946318118469
0.441685,70.310369,30.696764,703.765822,704.424464405654
0.451685,70.326539,31.396594,704.076288,703.6600437688355
0.461685,70.342756,32.096585,704.393754,704.6521098933744
0.471685,70.358918,32.796738,704.718221,704.7422779670782
0.481685,70.374926,33.497051,705.04969,705.8757002430746
0.491685,70.390981,34.197523,705.388163,705.1003671494359
0.501685,70.443001,34.898334,705.733642,703.2835535590373
0.511685,70.466361,35.59952,706.086131,703.9221018044362
0.521685,70.482302,36.300902,706.445633,707.4811607669569
0.531685,70.498157,37.002441,706.81215,708.5907029939734
0.541685,70.514061,37.704139,707.185683,706.2312654666888
0.551685,70.529807,38.405995,707.566234,707.6966566316676
0.561685,70.545601,39.108007,707.953804,709.4428693891889
0.571685,70.561341,39.810176,708.348395,705.6331907721899
0.581685,70.576995,40.512502,708.750008,707.6654929439085
0.591685,70.592629,41.214983,709.158645,707.480329709859
0.601685,70.642662,41.917791,709.574309,708.8191100503072
0.603,70.6486,42.010204,709.629468,710.5346383873389
0.605835,70.669326,42.209211,709.749152,712.7245816024973
0.608671,70.674145,42.408231,709.8694,710.7745864910511
0.614342,70.683277,42.806296,710.111026,712.0116316099072
0.620013,70.69202,43.20441,710.354909,709.1679013119697
0.625684,70.700735,43.602574,710.60105,708.0543734311292
0.635684,70.716213,44.3048,711.040587,710.6183377999217
0.645684,70.731637,45.007187,711.487147,710.6076226240883
0.655684,70.746813,45.709736,711.940731,711.5767785965345
0.665684,70.761868,46.41245,712.401342,713.7704738927732
0.675684,70.776885,47.115333,712.868981,710.9823197159916
0.685684,70.791504,47.818387,713.343649,712.950206339106
0.695684,70.80624,48.521616,713.825349,713.5689340994319
0.705684,70.860422,49.225188,714.314083,713.0363974352198
0.715684,70.875545,49.929207,714.809855,715.0447979017111
0.725684,70.889912,50.633383,715.312667,715.3361332952081
0.735684,70.904284,51.337748,715.822523,715.1588717015917
0.745684,70.918421,52.042307,716.339423,715.8431885823323
0.755684,70.932614,52.747062,716.86337,718.7952755372585
0.765684,70.946378,53.452016,717.394365,716.6118916746303
0.775684,70.960188,54.157172,717.932411,717.3966266781073
0.785684,70.973841,54.862533,718.477509,720.4067489166997
0.795684,70.987425,55.568103,719.029662,717.5752697891268
