Time (s),acceleration Magnitude (m/s²),Vz (m/s),Z (m),z
0.0,69.312113,0.0,697.0,696.25478906799
0.005831,69.32341,0.40418,697.002357,696.3365491254226
0.011662,69.333918,0.808422,697.00707,700.4648487739053
0.021662,69.351897,1.501801,697.018622,694.4410283601682
0.031662,69.369864,2.195359,697.037107,698.1508019658382
0.041662,69.387782,2.889097,697.06253,699.9388862623252
0.051662,69.405627,3.583013,697.09489,696.5952982233212
0.061662,69.42344,4.277108,697.134191,698.1052355572182
0.071662,69.441144,4.971381,697.180433,699.5963099570953
0.081662,69.458871,5.66583,697.233619,697.9153418113339
0.091662,69.476479,6.360457,697.293751,697.1100598152346
0.101662,69.538994,7.055484,697.36083,697.0520641548843
0.111662,69.565071,7.750953,697.434863,698.06306111397
0.121662,69.582626,8.446641,697.515851,699.3962867780536
0.131662,69.60008,9.142504,697.603796,697.5189558856076
0.141662,69.617531,9.838542,697.698702,698.0765068734863
0.151662,69.634969,10.534754,697.800568,699.5661754815468
0.161662,69.652291,11.23114,697.909397,698.2039773130554
0.171662,69.669619,11.927698,698.025192,699.6877870504584
0.181662,69.686884,12.62443,698.147952,694.2933583276138
0.191662,69.704087,13.321335,698.277681,693.9023360214518
0.201662,69.76239,14.018582,698.41438,699.112359020565
0.211662,69.787509,14.716309,698.558054,697.2349660874605
0.221662,69.804636,15.414225,698.708707,699.2522823609961
0.231662,69.821738,16.112306,698.866339,699.7065299425133
0.241662,69.838781,16.810558,699.030954,701.0488361974202
0.251662,69.855771,17.50898,699.202551,701.3953723131123
0.261662,69.872707,18.207572,699.381134,698.8350554463848
0.271662,69.889587,18.906333,699.566704,698.0868785855076
0.281662,69.906442,19.605262,699.759261,699.081322733149
0.291662,69.923274,20.30436,699.958809,700.4605619225332
0.301662,69.979331,21.003789,700.16535,700.1066963050943
0.311662,70.003885,21.703655,700.378887,700.4713230523903
0.321662,70.020605,22.403726,700.599424,701.9142949876497
0.331662,70.037269,23.103965,700.826962,699.4160269774612
0.341662,70.053877,23.80437,701.061504,702.3625421037818
0.351662,70.070431,24.50494,701.303051,701.6390081137841
0.361662,70.087032,25.205677,701.551604,701.2338189041345
0.371662,70.103475,25.906578,701.807165,702.2688511154786
0.381662,70.119966,26.607645,702.069736,701.8247367089817
0.391662,70.1364,27.308876,702.339319,704.482845867015
0.401662,70.190244,28.010458,702.615915,704.7527947003928
0.411662,70.21421,28.712429,702.89953,700.0233623785902
0.421662,70.230533,29.414602,703.190165,705.9379481684743
0.431662,70.246834,30.116938,703.487823,703.8023841495112
0.441662,70.263013,30.819436,703.792505,701.5849445309901
0.451662,70.279136,31.522095,704.104212,702.5668496281037
0.461662,70.295307,32.224917,704.422947,706.4484451847507
0.471662,70.311423,32.927899,704.748711,703.1542529461391
0.481662,70.327383,33.631042,705.081506,704.6668005521512
0.491662,70.343392,34.334345,705.421333,706.0051979534667
0.501662,70.395257,35.037987,705.768195,709.3275459217242
0.511662,70.418673,35.742006,706.122095,704.8554642523346
0.521662,70.434568,36.446221,706.483036,705.8778491561656
0.531662,70.450374,37.150594,706.85102,708.0316768738915
0.541662,70.46623,37.855126,707.226048,710.6042730032241
0.551662,70.481925,38.559816,707.608123,704.4945118832516
0.561662,70.497669,39.264662,707.997245,709.4168625057542
0.571662,70.51336,39.969666,708.393417,708.4373326688125
0.581662,70.528962,40.674827,708.79664,711.3226943708648
0.591662,70.544546,41.380143,709.206914,712.8172278242793
0.601662,70.594428,42.085787,709.624244,709.1310009614757
0.6032,70.601113,42.194394,709.689078,713.328681157798
0.606413,70.609199,42.421231,709.825371,710.2952375366798
0.609626,70.614408,42.648085,709.962392,708.5571417148481
0.616051,70.624629,43.101825,710.237892,710.3865839501151
0.622477,70.634461,43.555631,710.516308,711.1653677490028
0.628903,70.644491,44.0095,710.79764,713.6826308086438
0.638903,70.659656,44.715965,711.241267,709.983828985298
0.648903,70.674971,45.422583,711.69196,709.0957559322528
0.658903,70.690456,46.129355,712.149719,710.1827171971815
0.668903,70.705542,46.836281,712.614547,712.4586612780577
0.678903,70.720737,47.543358,713.086446,711.8132281719855
0.688903,70.735818,48.250588,713.565415,711.8411156969029
0.698903,70.750945,48.957969,714.051458,713.5523812781995
0.708903,70.805974,49.665667,714.544576,714.7874610243379
0.718903,70.820985,50.373749,715.044773,716.3323900723807
0.728903,70.836126,51.081982,715.552051,717.0859517180598
0.738903,70.850931,51.790363,716.066413,714.7834829591594
0.748903,70.865831,52.498893,716.587859,715.1084436653271
0.758903,70.880618,53.20757,717.116391,716.7252623096683
0.768903,70.895255,53.916393,717.652011,715.492942039894
0.778903,70.910105,54.625361,718.19472,718.4520226622232
0.788903,70.924735,55.334475,718.744519,717.8579028540483
0.798903,70.93914,56.043731,719.30141,720.6501535491196
0.808903,70.992666,56.753291,719.865395,719.1158359260844
0.818903,71.007091,57.463252,720.436477,720.8808784123602
0.828903,71.021641,58.17332,721.01466,719.876172450135
0.838903,71.036074,58.883527,721.599944,720.5906166371752
0.848903,71.050525,59.593873,722.192331,722.0499007403644
0.858903,71.064862,60.304356,722.791822,720.6530574126987
0.868903,71.079337,61.014974,723.398419,725.5422928357976
0.878903,71.0937,61.725728,724.012122,722.8656893038439
0.888903,71.108077,62.436615,724.632934,724.461684060459
0.898903,71.122299,63.147633,725.260855,725.0927767564932
0.908903,71.173204,63.858919,725.895887,725.0786043444556
0.918903,71.187581,64.570623,726.538035,724.6824765947568
0.928903,71.201973,65.28238,727.1873,727.2545397598866
0.938903,71.21606,65.994277,727.843683,725.7984157617565
0.948903,71.230279,66.706298,728.507186,727.0267027084667
0.958903,71.244464,67.41844,729.177809,728.7104460810267
0.968903,71.258497,68.130702,729.855555,728.7990067486395
0.978903,71.272516,68.84308,730.540424,730.5707057983194
0.988903,71.286767,69.555574,731.232417,729.71380415395
0.998903,71.300598,70.268182,731.931535,732.9933946129267
1.008903,71.350319,70.981034,732.637781,733.3459392774596
1.018903,71.364442,71.694277,733.351157,736.4387529550208
1.028903,71.378437,72.407555,734.071667,734.040365047146
1.038903,71.392345,73.120946,734.799309,733.2890252901744
1.048903,71.406173,73.834444,735.534086,737.7695423778479
1.058903,71.420469,74.548044,736.275998,735.7025186161574
1.068903,71.434144,75.261742,737.025047,737.5769622053019
1.078903,71.448134,75.975535,737.781234,739.34526812769
1.088903,71.462023,76.689422,738.544558,736.6890787092827
1.098903,71.475902,77.4034,739.315022,738.4704973867036
1.108903,71.523951,78.11761,740.092627,739.8632491387739
1.118903,71.53812,78.832135,740.877376,738.5062289291546
1.128903,71.551882,79.546719,741.66927,738.8909977858102
1.138903,71.565788,80.261384,742.46831,741.7734995061614
1.148903,71.579549,80.97613,743.274498,741.86088215427
1.158903,71.593342,81.690954,744.087833,742.0368048713974
1.168903,71.607054,82.405854,744.908317,742.6624489559186
1.178903,71.620792,83.120828,745.73595,747.0292382157452
1.188903,71.63466,83.835874,746.570734,748.4567208349898
1.198903,71.648267,84.550992,747.412668,746.6117274527637
1.208903,71.694994,85.2663,748.261754,749.7941347533114
1.218903,71.708945,85.981938,749.117995,745.4503056941218
1.228903,71.722287,86.697573,749.981393,749.819067659304
1.238903,71.735922,87.413283,750.851947,750.6483056016441
1.248903,71.749616,88.129056,751.729659,754.6676342337876
1.258903,71.762949,88.844889,752.614528,755.7910643406059
1.268903,71.776617,89.560781,753.506557,752.471639548137
1.278903,71.789902,90.276732,754.405744,755.9587107615288
1.288903,71.803468,90.992739,755.312092,754.1337612965888
1.298903,71.816709,91.708802,756.225599,757.1498915698133
1.308903,71.861765,92.425052,757.146268,757.5771824658557
1.318903,71.87551,93.141568,758.074101,758.0197887325791
1.328903,71.888539,93.858114,759.0091,759.892842004073
1.338903,71.901731,94.574711,759.951264,761.5708683449309
1.348903,71.914704,95.291359,760.900594,762.0169677324955
1.358903,71.927886,96.008059,761.857091,761.5666046984661
1.368903,71.940863,96.72481,762.820755,761.8973058675452
1.378903,71.953653,97.44161,763.791587,763.7231862355638
1.388903,71.96653,98.15846,764.769588,764.0164118764574
1.398903,71.979373,98.875353,765.754757,766.6248686138622
1.408903,72.023124,99.592453,766.747096,767.6685604867688
1.418903,72.036234,100.309697,767.746606,770.764264999631
1.428903,72.049054,101.027013,768.75329,769.648500446514
1.438903,72.06206,101.744371,769.767147,768.2562537058451
1.448903,72.074762,102.46176,770.788177,769.5775801805781
1.458903,72.087769,103.179184,771.816382,768.3836809505095
1.468903,72.100457,103.896645,772.851761,772.7246677092271
1.478903,72.113249,104.614145,773.894315,774.6164587026823
1.488903,72.126115,105.331686,774.944044,775.1576027734405
1.498903,72.138625,106.049266,776.000949,774.3389345389173
1.508903,72.181405,106.76705,777.06503,776.6463892689053
1.518903,72.194146,107.484983,778.136291,777.6702652698775
1.528903,72.206767,108.203,779.21473,777.7374905747458
1.538903,72.219246,108.921073,780.300351,781.8053314806265
1.548903,72.23158,109.639196,781.393152,778.5987468932533
1.558903,72.243972,110.357373,782.493135,780.8564313559139
1.568903,72.256104,111.075613,783.6003,784.635638802426
1.578903,72.268311,111.793923,784.714647,784.8299873020712
1.588903,72.280142,112.512311,785.836178,785.3165219586239
1.598903,72.291904,113.23078,786.964894,784.0412751989932
1.608903,72.332201,113.949475,788.100795,788.2961469928023
1.618903,72.34372,114.668392,789.243884,787.392758046116
1.628903,72.35465,115.387453,790.394163,791.2117948500953
1.638903,72.365676,116.106615,791.551633,793.1893588655685
1.648903,72.376409,116.825876,792.716296,793.0992950891998
1.658903,72.386735,117.545255,793.888151,792.8101179216142
1.668903,72.396908,118.264765,795.067201,796.6080355397253
1.678903,72.406929,118.984415,796.253447,796.2874162309286
1.688903,72.416597,119.704209,797.44689,798.2076497922615
1.698903,72.425961,120.424152,798.647532,799.8981277090855
1.708903,72.463093,121.144385,799.855374,800.7205709683344
1.718903,72.472295,121.864903,801.07042,802.575003437754
1.728903,72.480952,122.585634,802.292673,802.229252985668
1.738903,72.489438,123.30653,803.522133,801.2253968896038
1.748903,72.497608,124.027584,804.758804,805.6667539694494
