Time (s),acceleration Magnitude (m/s²),Vz (m/s),Z (m),z
0.0,69.333063,0.0,697.0,696.5254050139063
0.005836,69.344366,0.40381,697.002357,695.9854435287122
0.011672,69.35488,0.807682,697.00707,697.7073246602578
0.021672,69.372854,1.499791,697.018608,696.2719893203935
0.031672,69.390817,2.19208,697.037067,694.6388753324261
0.041672,69.408733,2.884548,697.06245,697.0492292874953
0.051672,69.426577,3.577194,697.094759,698.0764915408799
0.061672,69.444383,4.270018,697.133995,694.7824091813542
0.071672,69.46208,4.963019,697.18016,699.196687691663
0.081672,69.479798,5.656197,697.233256,696.9370621120687
0.091672,69.497396,6.349551,697.293285,693.9731877151737
0.101672,69.559957,7.043305,697.360249,694.0101190198172
0.111672,69.585961,7.737501,697.434153,698.5110200110736
0.121672,69.603501,8.431914,697.515,697.4157552735771
0.131672,69.620939,9.126502,697.602793,699.5424192934569
0.141672,69.638376,9.821263,697.697531,698.0883337370865
0.151672,69.655799,10.516199,697.799219,700.1297689347901
0.161672,69.673102,11.211308,697.907856,699.0015214716398
0.171672,69.690411,11.906589,698.023446,698.4261442893742
0.181672,69.707656,12.602043,698.145989,698.928570061454
0.191672,69.724838,13.297668,698.275487,699.246985189868
0.201672,69.783179,13.993637,698.411944,696.6191342287061
0.211672,69.808218,14.690083,698.555362,701.2885055755926
0.221672,69.825322,15.386718,698.705746,696.4337331407743
0.231672,69.842398,16.083517,698.863097,697.9748251565987
0.241672,69.859413,16.780486,699.027417,698.7239133651256
0.251672,69.876376,17.477625,699.198707,701.7265528585166
0.261672,69.893282,18.174932,699.37697,697.8586633682708
0.271672,69.91013,18.872408,699.562207,696.476125850266
0.281672,69.926951,19.570052,699.754419,702.0191505481282
0.291672,69.943747,20.267864,699.953609,700.4687955520247
0.301672,69.999822,20.966007,700.159778,700.4931024625157
0.311672,70.024284,21.66461,700.37293,697.1202845755597
0.321672,70.040963,22.363399,700.59307,699.3485135547287
0.331672,70.057583,23.062348,700.820199,702.3856220799598
0.341672,70.074145,23.761462,701.054318,700.0976865505031
0.351672,70.090652,24.460741,701.295429,701.4193861649878
0.361672,70.107202,25.160185,701.543533,701.0552017169213
0.371672,70.123593,25.859793,701.798633,702.1219988446285
0.381672,70.140027,26.559565,702.06073,701.3729874562981
0.391672,70.156404,27.259501,702.329825,705.0523693702544
0.401672,70.210237,27.959787,702.605922,705.1019446649467
0.411672,70.234088,28.66046,702.889023,701.6832309358311
0.421672,70.250343,29.361334,703.179132,702.0318661661997
0.431672,70.266574,30.06237,703.476251,701.8424312803769
0.441672,70.282679,30.763567,703.78038,703.4301437154262
0.451672,70.298725,31.464924,704.091523,702.6548355791418
0.461672,70.314815,32.166442,704.40968,704.16525840349
0.471672,70.330848,32.86812,704.734852,705.4254814116797
0.481672,70.34672,33.569957,705.067043,704.9240723424139
0.491672,70.362635,34.271953,705.406252,707.9146168600437
0.501672,70.414452,34.974287,705.752484,704.7753426131233
0.511672,70.437721,35.676995,706.10574,707.8426489881065
0.521672,70.453511,36.379898,706.466024,706.0692833255674
0.531672,70.469209,37.082958,706.833339,706.6835512927968
0.541672,70.484948,37.786175,707.207684,708.2234328344954
0.551672,70.500525,38.489549,707.589063,708.7662159645676
0.561672,70.516147,39.193078,707.977476,706.0321857296159
0.571672,70.531793,39.896763,708.372925,708.7738594637486
0.581672,70.547381,40.600603,708.775412,707.5586144704635
0.591672,70.562944,41.3046,709.184938,710.0763400426116
0.601672,70.612854,42.008923,709.601506,708.4705332615715
0.603111,70.619201,42.110304,709.662025,708.1798155744194
0.605187,70.627323,42.256521,709.749723,709.1813419434079
0.607262,70.631184,42.402746,709.837725,710.7970592603313
0.611413,70.637771,42.69521,710.014336,709.6492546091863
0.615563,70.644346,42.987703,710.192161,708.5071682294299
0.619714,70.650889,43.280225,710.3712,710.6947405802964
0.629714,70.666411,43.985079,710.807527,711.1645538643522
0.639714,70.681723,44.69009,711.250902,710.0088698445844
0.649714,70.696936,45.395251,711.701329,711.196499594485
0.659714,70.712448,46.100558,712.158808,714.1992824093667
0.662168,70.716042,46.273658,712.272148,712.324708785231
0.664622,70.719903,46.446768,712.385914,711.7785654889719
0.667076,70.723442,46.619885,712.500104,714.7787064583401
0.676519,70.737802,47.28615,712.943491,711.4163448028961
0.685962,70.751939,47.952538,713.393171,714.2894945486266
0.695406,70.766115,48.619045,713.849143,713.4615781883941
0.705406,70.82038,49.325173,714.338865,711.246974819686
0.715406,70.835984,50.031629,714.835649,713.090401308333
0.725406,70.850866,50.738212,715.339498,714.156494185833
0.735406,70.865681,51.444915,715.850413,715.7309628469137
0.745406,70.880444,52.151732,716.368397,714.3444965212319
0.755406,70.895264,52.858661,716.893449,715.4379811662873
0.765406,70.909932,53.565696,717.42557,718.9066864217684
0.775406,70.924513,54.272832,717.964763,716.3955197064114
0.785406,70.939163,54.980063,718.511028,718.9635589743291
0.795406,70.953841,55.687386,719.064365,715.3147216055427
0.805406,71.006165,56.39495,719.624776,718.5115931700576
0.815406,71.021607,57.102846,720.192265,720.6299887585701
0.825406,71.036053,57.810788,720.766833,720.7030218628408
0.835406,71.051103,58.518796,721.348481,725.2410947732984
0.845406,71.065341,59.226863,721.937209,723.549295556917
0.855406,71.080162,59.934979,722.533018,723.8022531091672
0.865406,71.094901,60.643141,723.135909,724.7548754955474
0.875406,71.109908,61.35134,723.745881,723.512686561151
0.885406,71.124524,62.059567,724.362936,725.3920359816535
0.895406,71.139475,62.767813,724.987073,725.4142395841478
0.905406,71.190703,63.476221,725.618293,727.057418917539
0.915406,71.206826,64.184877,726.256598,726.5905230487142
0.925406,71.22199,64.893503,726.90199,728.2112922697007
0.935406,71.237304,65.602114,727.554468,726.1927277535455
0.945406,71.252891,66.3107,728.214032,726.1384131810879
0.955406,71.268439,67.019255,728.880682,729.4650380767514
0.965406,71.284056,67.727765,729.554417,729.9873643429079
0.975406,71.300089,68.436223,730.235237,731.6516772702446
0.985406,71.316142,69.144621,730.923141,734.4754996026942
0.995406,71.332347,69.852949,731.618129,732.5798951719416
1.005406,71.383589,70.561326,732.3202,731.8509940015397
1.015406,71.400832,71.269891,733.029356,732.1891609366457
1.025406,71.417616,71.978292,733.745597,734.0609573777216
1.035406,71.434275,72.686599,734.468922,732.1324151004017
1.045406,71.451313,73.394789,735.199329,734.288688231137
1.055406,71.468563,74.102857,735.936817,735.5072115505518
1.065406,71.485795,74.810793,736.681386,736.750536622698
1.075406,71.503279,75.518591,737.433033,737.4675795809528
1.085406,71.520945,76.226243,738.191757,738.577270746179
1.095406,71.538468,76.933744,738.957557,737.688974497276
1.105406,71.590006,77.641211,739.730432,737.079054944134
1.115406,71.608813,78.348785,740.510382,740.2734621155871
1.125406,71.626813,79.056129,741.297407,739.9336901889345
1.135406,71.645272,79.763318,742.091504,740.3196726777272
1.145406,71.663127,80.470337,742.892672,744.2509628584339
1.155406,71.681567,81.177182,743.70091,746.6665317004488
1.165406,71.699855,81.883856,744.516215,741.9912648176481
1.175406,71.718067,82.590358,745.338587,745.795533475392
1.185406,71.736302,83.296688,746.168022,747.8705700222343
1.195406,71.754694,84.002852,747.00452,746.7142442722075
1.205406,71.804962,84.708986,747.848079,745.6658408301937
