Time (s),acceleration Magnitude (m/s²),Vz (m/s),Z (m),z
0.0,69.359814,0.0,697.0,696.0234837265245
0.005843,69.371108,0.403311,697.002357,697.231865616121
0.011687,69.381608,0.806683,697.00707,696.2487959706455
0.021687,69.399531,1.497083,697.018589,697.4551290828155
0.031687,69.417427,2.18766,697.037013,696.1908107016476
0.041687,69.435261,2.878415,697.062343,695.2304857085645
0.051687,69.453025,3.569347,697.094582,695.5306806894483
0.061687,69.470747,4.260455,697.133731,695.9346743559522
0.071687,69.48838,4.95174,697.179792,694.4294028350014
0.081687,69.506086,5.6432,697.232767,696.637642347362
0.091687,69.523698,6.334836,697.292657,694.6796149022075
0.101687,69.586328,7.026871,697.359466,695.1050186004414
0.111687,69.612212,7.719347,697.433197,698.6760405823582
0.121687,69.629714,8.412038,697.513854,694.6071370911804
0.131687,69.64713,9.104903,697.601438,697.2090923526061
0.141687,69.664572,9.797942,697.695953,698.2074569516167
0.151687,69.681985,10.491154,697.797398,698.9192974483096
0.161687,69.699266,11.184538,697.905776,695.738995139151
0.171687,69.716555,11.878095,698.02109,698.8464309474464
0.181687,69.733783,12.571823,698.143339,697.6969345628621
0.191687,69.750968,13.265722,698.272527,700.5634735559195
0.201687,69.809382,13.959997,698.408656,700.0914882389515
0.211687,69.834332,14.654688,698.551729,698.9179354164968
0.221687,69.851429,15.349587,698.70175,697.8351031030643
0.231687,69.868498,16.044656,698.858722,697.9439370561881
0.241687,69.885518,16.739895,699.022644,702.1554479454364
0.251687,69.902481,17.435303,699.19352,699.8736562500537
0.261687,69.919387,18.130879,699.371351,699.9555753503276
0.271687,69.936235,18.826624,699.556139,698.5705645968479
0.281687,69.953057,19.522536,699.747884,698.8976466674213
0.291687,69.969865,20.218615,699.94659,698.5734526866031
0.301687,70.026019,20.915057,700.152259,701.290839815228
0.311687,70.050417,21.6119,700.364893,704.1789066725987
0.321687,70.067107,22.308947,700.584498,698.8408775939671
0.331687,70.083739,23.00616,700.811073,700.5682459494923
0.341687,70.100318,23.703538,701.044622,700.3326307434429
0.351687,70.116841,24.401081,701.285145,700.5646807822828
0.361687,70.13341,25.098788,701.532644,700.375893668649
0.371687,70.149821,25.79666,701.787121,699.3927636952664
0.381687,70.166278,26.494695,702.048577,702.164619216789
0.391687,70.182679,27.192894,702.317015,703.0733337439394
0.401687,70.236609,27.891442,702.592437,704.474182137225
0.411687,70.26042,28.590377,702.874846,702.585937303657
0.421687,70.276704,29.289512,703.164246,701.6439616766271
0.431687,70.292972,29.988808,703.460637,704.3330615158434
0.441687,70.309112,30.688266,703.764023,704.9615007076484
0.451687,70.325197,31.387884,704.074403,702.8989858067606
0.461687,70.341328,32.087662,704.391781,703.4308435927798
0.471687,70.357405,32.787601,704.716157,703.8644917064684
0.481687,70.373324,33.487699,705.047534,704.4312093965864
0.491687,70.389287,34.187955,705.385912,701.6346474344276
0.501687,70.441221,34.888549,705.731295,705.1491206180764
0.511687,70.464482,35.589517,706.083685,705.8018117323404
0.521687,70.480328,36.29068,706.443086,706.4724112158307
0.531687,70.496088,36.992,706.809499,706.7647261526477
0.541687,70.51189,37.693477,707.182927,708.4573495147322
0.551687,70.527535,38.395111,707.56337,708.8807761428416
0.561687,70.543227,39.0969,707.95083,706.7708797851329
