Time (s),acceleration Magnitude (m/s²),Vz (m/s),Z (m),z
0.0,69.320616,0.0,697.0,696.8938887222093
0.005833,69.331918,0.404029,697.002357,698.3993034248593
0.011666,69.34243,0.80812,697.00707,700.5348654093814
0.021666,69.360411,1.500981,697.018616,696.7675435950272
0.031666,69.37838,2.194021,697.037091,696.3465226269698
0.041666,69.3963,2.887241,697.062497,696.2342319388741
0.051666,69.414147,3.580639,697.094837,696.0684578831123
0.061666,69.431961,4.274215,697.134111,697.9072829271452
0.071666,69.449668,4.967969,697.180322,696.6210232401028
0.081666,69.467397,5.6619,697.233471,695.8434597184361
0.091666,69.485007,6.356007,697.293561,695.1431946535198
0.101666,69.547547,7.050515,697.360593,698.5598387490722
0.111666,69.573601,7.745465,697.434573,698.0503414220154
0.121666,69.591157,8.440634,697.515504,694.7157633414151
0.131666,69.608612,9.135977,697.603387,697.4875594241399
0.141666,69.626066,9.831494,697.698224,696.7786404199725
0.151666,69.643504,10.527186,697.800018,696.1045786934163
0.161666,69.660827,11.223051,697.908769,696.3567281555813
0.171666,69.678155,11.91909,698.024479,701.2607549612705
0.181666,69.695422,12.615301,698.147151,696.6853746473694
0.191666,69.712625,13.311684,698.276786,698.4000838085707
0.201666,69.770952,14.008411,698.413386,699.6708256284707
0.211666,69.796048,14.705616,698.556956,699.3086072876371
0.221666,69.813176,15.403011,698.707499,696.8877905047498
0.231666,69.830279,16.10057,698.865017,699.3396892673534
0.241666,69.847321,16.7983,699.029511,697.1752037040568
0.251666,69.864311,17.4962,699.200984,699.7183352669912
0.261666,69.881247,18.19427,699.379436,700.0343545317597
0.271666,69.898126,18.892508,699.56487,699.8600375858915
0.281666,69.914981,19.590915,699.757287,698.5185574055788
0.291666,69.931812,20.28949,699.956689,699.6768233381168
0.301666,69.98789,20.988397,700.163078,702.8387680301761
0.311666,70.012422,21.687739,700.376458,700.7746463639127
0.321666,70.029141,22.387287,700.596834,701.0850479834385
0.331666,70.045804,23.087002,700.824205,699.1750933029584
0.341666,70.06241,23.786883,701.058574,703.9337436880309
0.351666,70.078963,24.486929,701.299944,700.2593020498721
0.361666,70.095562,25.187142,701.548314,700.890546747313
0.371666,70.112003,25.887519,701.803687,701.7820333149695
0.381666,70.128491,26.588061,702.066065,703.7730880571319
0.391666,70.144924,27.288767,702.335449,701.4206126945134
0.401666,70.198786,27.989824,702.611842,704.868704970082
0.411666,70.222729,28.69127,702.895248,700.518228042648
0.421666,70.239048,29.392917,703.185669,706.9086201621449
0.431666,70.255346,30.094727,703.483107,704.0075130673805
0.441666,70.271522,30.7967,703.787564,704.8903555118438
0.451666,70.287642,31.498833,704.099042,706.4060262513495
0.461666,70.303808,32.201128,704.417541,704.6445246891323
0.471666,70.319921,32.903584,704.743065,707.083879926442
0.481666,70.335877,33.606201,705.075614,703.4137960137242
0.491666,70.351881,34.308977,705.41519,705.362255256317
0.501666,70.403761,35.012092,705.761795,705.9700500696407
0.511666,70.427153,35.715583,706.115434,705.3672324732661
0.521666,70.443042,36.41927,706.476108,706.232745337656
0.531666,70.458843,37.123116,706.84382,708.2669290486197
0.541666,70.474693,37.82712,707.218571,707.3212753875321
0.551666,70.490383,38.531281,707.600363,709.3293198902177
0.561666,70.50612,39.235599,707.989197,709.8095642766099
0.571666,70.521804,39.940074,708.385076,708.7106087888927
0.581666,70.537401,40.644706,708.788,708.3124809486012
0.591666,70.552978,41.349493,709.197971,708.4868009362178
0.601666,70.60287,42.054607,709.614991,712.2049243673661
0.603163,70.609416,42.160231,709.678043,707.6673672298135
0.606408,70.618686,42.389088,709.81558,706.6368362427498
0.609653,70.624049,42.617962,709.953859,713.6642655382917
0.616142,70.634121,43.075744,710.231903,711.4438644407659
0.622631,70.644251,43.533593,710.512918,710.0689860038623
0.62912,70.6543,43.991508,710.796904,710.8824061634781
0.63912,70.669485,44.697288,711.240347,710.7484378784573
0.64912,70.684764,45.403223,711.69085,707.8062670867824
0.65912,70.699901,46.109313,712.148412,711.5188766930843
0.66912,70.715099,46.815557,712.613037,713.7609546576248
0.67912,70.730204,47.521955,713.084724,712.37218180547
0.68912,70.745585,48.228507,713.563476,714.312789587954
0.69912,70.764916,48.935231,714.049295,713.1570015209388
0.70912,70.815421,49.642284,714.542182,717.3953136226346
0.71912,70.830605,50.349722,715.042142,715.9816780730227
0.72912,70.845438,51.057281,715.549177,716.6286385106894
0.73912,70.860292,51.76499,716.063288,715.0197258692973
0.74912,70.875094,52.472846,716.584477,716.4740565066414
0.75912,70.890031,53.180851,717.112745,717.3492095562018
0.76912,70.904667,53.889003,717.648095,715.7916157882491
0.77912,70.919539,54.597301,718.190526,717.5406520649703
0.78912,70.934159,55.305743,718.740041,718.9048999153721
0.79912,70.953139,56.014347,719.296641,717.8996583530766
0.80912,71.001751,56.723262,719.860329,720.9426474126582
0.81912,71.016343,57.432541,720.431108,718.7274264900227
0.82912,71.030864,58.141931,721.00898,719.2817833495877
0.83912,71.04546,58.851458,721.593947,724.6834138420363
0.84912,71.059982,59.561122,722.18601,721.7786027361564
0.85912,71.074346,60.27092,722.78517,723.409474133243
0.86912,71.088701,60.980849,723.391429,725.0143313872942
0.87912,71.103085,61.690907,724.004787,722.59367401258
0.88912,71.117505,62.401094,724.625247,721.1443206224852
0.89912,71.135927,63.111423,725.25281,725.8667129003016
0.90912,71.183151,63.822032,725.887477,727.0910382797788
0.91912,71.197314,64.533013,726.529252,727.4300377228693
0.92912,71.211765,65.244068,727.178137,726.4106603158502
0.93912,71.225934,65.955233,727.834133,728.743891986686
0.94912,71.240242,66.666512,728.497242,727.0811942670987
0.95912,71.254216,67.377901,729.167464,729.4117412961298
0.96912,71.268732,68.089399,729.8448,730.3710781578131
0.97912,71.282667,68.801005,730.529252,729.3032116065021
