Time (s),acceleration Magnitude (m/s²),Vz (m/s),Z (m),z
0.0,69.34361,0.0,697.0,696.8851080701495
0.005839,69.354915,0.403621,697.002357,698.2453967710151
0.011678,69.365429,0.807302,697.00707,696.7025287888488
0.021678,69.383397,1.498761,697.018601,695.6231421268624
0.031678,69.401353,2.1904,697.037047,695.2246720111228
0.041678,69.419254,2.882216,697.06241,698.2080691106966
0.051678,69.437083,3.574211,697.094692,698.0512369372306
0.061678,69.454875,4.266384,697.133895,695.3106426224665
0.071678,69.47256,4.958733,697.18002,694.8134892552486
0.081678,69.490265,5.651259,697.23307,696.6238133728086
0.091678,69.507852,6.34396,697.293046,702.2692068807688
0.101678,69.570458,7.037061,697.359951,697.2027549270987
0.111678,69.596426,7.730604,697.43379,697.9493806464571
0.121678,69.613962,8.424363,697.514565,696.0615840528541
0.131678,69.631397,9.118297,697.602278,698.8442862356309
0.141678,69.648832,9.812404,697.696931,699.8741980037031
0.151678,69.66626,10.506686,697.798527,697.7345825377023
0.161678,69.683563,11.20114,697.907066,698.9368874904873
0.171678,69.700873,11.895767,698.022551,697.4843991775857
0.181678,69.71812,12.590566,698.144982,696.7567822021713
0.191678,69.735304,13.285536,698.274363,698.8320486000886
0.201678,69.793681,13.980849,698.410694,699.1956260588609
0.211678,69.818695,14.676639,698.553981,697.0925876016505
0.221678,69.835806,15.372619,698.704227,699.8962404620718
0.231678,69.852889,16.068762,698.861434,699.6570869694756
0.241678,69.869912,16.765075,699.025603,699.3023240338881
0.251678,69.886885,17.461557,699.196737,697.7745930413289
0.261678,69.903802,18.158208,699.374835,698.7554027020362
0.271678,69.92066,18.855028,699.559902,699.7995982827978
0.281678,69.937493,19.552015,699.751937,701.3824636860926
0.291678,69.954305,20.249171,699.950943,701.1678455019767
0.301678,70.010422,20.946657,700.156922,699.3850903477856
0.311678,70.034873,21.644603,700.369877,699.2534669232091
0.321678,70.05157,22.342735,700.589814,702.2564350266447
0.331678,70.06821,23.041026,700.816733,700.5990019830693
0.341678,70.084793,23.739483,701.050635,700.3843919210232
0.351678,70.101323,24.438105,701.291523,699.3060477466144
0.361678,70.117897,25.136892,701.539398,701.4241667580861
0.371678,70.134314,25.835843,701.794262,704.8194444194048
0.381678,70.150776,26.534958,702.056116,701.5584698202935
0.391678,70.167183,27.234237,702.324962,703.5469010927117
0.401678,70.221074,27.933867,702.600802,702.1997063503823
0.411678,70.244932,28.633884,702.883641,702.3339911500087
0.421678,70.261222,29.3341,703.173481,704.4486455546327
0.431678,70.277492,30.03448,703.470324,706.0110462727151
0.441678,70.293637,30.73502,703.774171,704.7550597380397
0.451678,70.309725,31.435721,704.085025,702.6629944049727
0.461678,70.325859,32.136583,704.402887,705.8888799675233
0.471678,70.341938,32.837606,704.727758,704.468699742097
0.481678,70.35786,33.538788,705.05964,705.0512479238175
0.491678,70.373828,34.240128,705.398534,704.0551667526823
0.501678,70.425724,34.941808,705.744444,706.9219611113978
0.511678,70.449026,35.643861,706.097372,706.480831682539
0.521678,70.464876,36.34611,706.457322,708.2598669446998
0.531678,70.480637,37.048517,706.824295,707.0334226236471
0.541678,70.496443,37.75108,707.198293,705.0666783492571
0.551678,70.51209,38.453801,707.579318,706.2947895353958
0.561678,70.527783,39.156677,707.96737,709.3019902339568
0.571678,70.543422,39.85971,708.362452,708.317101662115
0.581678,70.558973,40.562899,708.764565,707.7232645542043
0.591678,70.574499,41.266242,709.173711,710.3524960472937
0.601678,70.62439,41.969911,709.589891,711.1471944344021
0.603065,70.63056,42.0676,709.648203,709.0409984377594
0.605758,70.637979,42.257055,709.76196,709.0371319160885
0.60845,70.642791,42.446525,709.876227,709.0822964704232
0.613834,70.65137,42.825488,710.105782,708.7269201623334
0.619218,70.659605,43.204498,710.337377,710.8135796669031
0.624602,70.667709,43.583554,710.571013,714.1053022654709
0.634602,70.683339,44.287711,711.010369,709.4369848818066
0.644602,70.69833,44.992022,711.456767,710.0474969216087
0.654602,70.713615,45.696482,711.91021,711.2602110925955
0.664602,70.729171,46.401091,712.370697,711.829596090303
0.674602,70.744328,47.105845,712.838232,713.9134635620874
0.684602,70.759745,47.810738,713.312815,710.1518518115743
0.694602,70.774849,48.515768,713.794447,712.5403506319716
0.704602,70.828741,49.221089,714.283131,713.022327642969
0.714602,70.845253,49.926769,714.778871,715.5024487616697
0.724602,70.860063,50.632577,715.281667,718.4757320111152
0.734602,70.87562,51.338504,715.791523,714.8811819429891
0.744602,70.890803,52.044547,716.308438,715.2634469155277
0.754602,70.905703,52.750698,716.832414,717.4141258492828
0.764602,70.920877,53.456953,717.363452,715.6562235696068
0.774602,70.935985,54.163306,717.901553,716.5962601975496
0.784602,70.951012,54.869752,718.446719,717.2005176250285
0.794602,70.96618,55.576286,718.998949,717.9772612595982
0.804602,71.018422,56.283056,719.558245,721.965200235846
0.814602,71.03477,56.990154,720.124611,718.6359883027782
0.824602,71.049884,57.697297,720.698048,721.5304654073185
0.834602,71.065003,58.404502,721.278557,718.8867341486348
0.844602,71.08007,59.111763,721.866139,722.1020804630386
0.854602,71.094654,59.819072,722.460793,723.834352385561
0.864602,71.10983,60.526417,723.06252,723.0175506788871
0.874602,71.125141,61.233798,723.671321,723.2727397319305
0.884602,71.140245,61.941205,724.287196,723.0516305522087
0.894602,71.155195,62.648627,724.910145,725.5934962894388
0.904602,71.206183,63.356234,725.54017,723.6735626628451
0.914602,71.222726,64.064025,726.177271,725.6235671012752
0.924602,71.237931,64.771812,726.82145,729.8979845245101
0.934602,71.253197,65.479579,727.472707,724.6825939274565
0.944602,71.268418,66.187316,728.131041,725.8653271396429
0.954602,71.283925,66.895015,728.796453,729.3115989230969
0.964602,71.299343,67.602664,729.468942,728.119848752201
0.974602,71.314747,68.310251,730.148506,730.1282478091497
0.984602,71.330292,69.017765,730.835146,731.8735578689287
0.994602,71.345952,69.725196,731.528861,733.3312458513501
1.004602,71.396196,70.432675,732.229651,733.4670344369786
1.014602,71.413275,71.14028,732.937515,734.6790763272902
1.024602,71.429038,71.847745,733.652455,732.584801489451
1.034602,71.445407,72.555079,734.37447,733.5566303360462
1.044602,71.461726,73.262272,735.103557,733.4908132266723
1.054602,71.477898,73.969309,735.839715,734.8358274499831
1.064602,71.494274,74.676176,736.582942,734.5220584566322
1.074602,71.511087,75.38286,737.333237,736.1917294778018
1.084602,71.528058,76.089351,738.090599,735.5105956713089
1.094602,71.54494,76.795634,738.855024,735.2388577749689
1.104602,71.595603,77.501877,739.626512,737.49401074063
1.114602,71.614464,78.207999,740.405061,740.3598381737843
1.124602,71.632477,78.913897,741.190671,740.2098656128852
1.134602,71.650672,79.619512,741.983338,742.6498362544108
1.144602,71.669494,80.324814,742.78306,742.8331202233107
1.154602,71.688074,81.029792,743.589833,744.5237270677706
1.164602,71.707124,81.734443,744.403654,744.0676468800903
1.174602,71.72646,82.438759,745.224521,743.7061646295778
1.184602,71.745918,83.142729,746.052428,745.890805846373
1.194602,71.765651,83.846341,746.887374,746.9659031170245
1.204602,71.817421,84.549759,747.729355,745.8779717634636
1.214602,71.838986,85.25292,748.578369,748.8739089162787
1.224602,71.859284,85.955747,749.434412,751.1854159710075
1.234602,71.879701,86.658198,750.297482,749.2729087396893
1.244602,71.900469,87.360262,751.167575,749.8424784640687
1.254602,71.920909,88.061938,752.044686,753.7567343771859
1.264602,71.941573,88.763227,752.928812,753.8784511023281
1.274602,71.962447,89.464134,753.819949,752.2201071919176
