Time (s),acceleration Magnitude (m/s²),Vz (m/s),Z (m),z
0.0,69.317674,0.0,697.0,699.5563276634189
0.005832,69.328976,0.404084,697.002357,695.3272645688872
0.011664,69.339488,0.808229,697.00707,696.2379725575192
0.021664,69.357471,1.501276,697.018618,695.9559622205651
0.031664,69.375443,2.194503,697.037097,696.4410282655228
0.041664,69.393369,2.887909,697.062509,695.7155568839726
0.051664,69.411229,3.581495,697.094856,697.254488418146
0.061664,69.42905,4.275258,697.13414,696.9757314460493
0.071664,69.446763,4.969199,697.180362,699.2077322516484
0.081664,69.464498,5.663317,697.233525,699.9141356268021
0.091664,69.482113,6.357612,697.293629,698.4358241388234
0.101664,69.544633,7.052308,697.360679,700.063442922824
0.111664,69.570696,7.747445,697.434678,697.0425459683923
0.121664,69.588254,8.442801,697.515629,696.7845169713884
0.131664,69.605709,9.138332,697.603534,695.8988195280645
0.141664,69.623162,9.834037,697.698396,696.6269623367853
0.151664,69.640595,10.529917,697.800216,700.3853457471458
0.161664,69.657917,11.22597,697.908996,697.0179085345619
0.171664,69.675244,11.922197,698.024736,698.3355355557803
0.181664,69.692508,12.618596,698.14744,698.7446205175626
0.191664,69.709709,13.315167,698.277109,698.5562022590725
0.201664,69.768024,14.012082,698.413745,696.632347850316
0.211664,69.793126,14.709475,698.557352,698.4376304862928
0.221664,69.81025,15.407058,698.707935,697.9837865188499
0.231664,69.827348,16.104806,698.865494,699.0562971334832
0.241664,69.844386,16.802724,699.030032,696.873313166788
0.251664,69.861371,17.500812,699.201549,701.0064960028079
0.261664,69.878302,18.19907,699.380049,699.5582998205266
0.271664,69.895175,18.897496,699.565531,700.730919301061
0.281664,69.912024,19.596092,699.757999,698.1687685335464
0.291664,69.928847,20.294855,699.957454,698.6626105139603
0.301664,69.98491,20.99395,700.163898,698.7320362672993
0.311664,70.009441,21.69348,700.377335,700.5927338384683
0.321664,70.026151,22.393216,700.597768,700.3544011050408
0.331664,70.042803,23.093119,700.8252,700.6840727298635
0.341664,70.059399,23.793188,701.059631,699.3237675187431
0.351664,70.075939,24.493423,701.301065,701.6700944682808
0.361664,70.092526,25.193823,701.549501,696.9045555027271
0.371664,70.108953,25.894389,701.804942,702.0059690260165
0.381664,70.125427,26.595118,702.067389,700.1664932062106
0.391664,70.141843,27.296012,702.336845,704.7685492177216
0.401664,70.19568,27.997257,702.613311,705.8914798038248
0.411664,70.219612,28.698891,702.896792,700.481435105205
0.421664,70.235912,29.400725,703.18729,703.2601785709962
0.431664,70.252188,30.102723,703.484807,703.7550110211115
0.441664,70.268341,30.804882,703.789345,701.2756785172726
0.451664,70.284437,31.507203,704.100906,704.0504090910881
0.461664,70.300577,32.209685,704.41949,703.8650670826551
