Time (s),acceleration Magnitude (m/s²),Vz (m/s),Z (m),z
0.0,69.311522,0.0,697.0,697.0013927185887
0.005831,69.322818,0.404193,697.002357,697.1242062810313
0.011661,69.333326,0.808447,697.00707,697.053624854838
0.021661,69.351307,1.501869,697.018622,697.176022178369
0.031661,69.369278,2.195472,697.037109,697.1548631159915
0.041661,69.387204,2.889253,697.062532,696.7137609829892
0.051661,69.405066,3.583213,697.094895,696.8166296297475
0.061661,69.422891,4.277352,697.134197,697.2500965296116
0.071661,69.440611,4.971669,697.180443,697.1987309751258
0.081661,69.458354,5.666163,697.233632,697.1906503972433
0.091661,69.475981,6.360834,697.293767,696.7983690075521
0.101661,69.53849,7.055905,697.36085,697.4440300113583
0.111661,69.564585,7.75142,697.434887,697.4035602767754
0.121661,69.582157,8.447152,697.51588,697.6501577306377
0.131661,69.599629,9.14306,697.603831,697.9095636874539
0.141661,69.6171,9.839143,697.698742,697.7295498240165
0.151661,69.634549,10.5354,697.800615,698.5143141041619
0.161661,69.651893,11.231832,697.909451,697.5794701216654
0.171661,69.669242,11.928437,698.025252,698.3844844087698
0.181661,69.68653,12.625214,698.14802,698.4588362566577
0.191661,69.703757,13.322165,698.277757,698.2715798308299
0.201661,69.762079,14.019459,698.414465,698.4674902489263
0.211661,69.787227,14.717232,698.558148,698.2020117695482
0.221661,69.804381,15.415196,698.70881,698.4213076041474
0.231661,69.821512,16.113325,698.866453,698.3933565815437
0.241661,69.838584,16.811624,699.031077,699.1353306323864
0.251661,69.855601,17.510094,699.202686,698.8184061022765
0.261661,69.87257,18.208734,699.38128,699.5455835972484
0.271661,69.889481,18.907544,699.566862,699.4678251587089
0.281661,69.906371,19.606522,699.759432,699.3974549012368
0.291661,69.923237,20.305669,699.958993,700.0501503953013
0.301661,69.979327,21.005148,700.165547,700.2228912437774
0.311661,70.00392,21.70509,700.379097,700.6839544257529
0.321661,70.020678,22.405218,700.599649,700.972269322195
0.331661,70.037381,23.105508,700.827202,700.5068670029582
0.341661,70.054029,23.805964,701.06176,701.2136961359184
0.351661,70.070623,24.506586,701.303322,700.7046057450937
0.361661,70.087266,25.207375,701.551892,701.41610215044
0.371661,70.103752,25.908329,701.807471,702.3051692363281
0.381661,70.120286,26.609448,702.07006,702.4306183718387
0.391661,70.136766,27.310733,702.33966,701.7012844025501
0.401661,70.190654,28.012369,702.616276,702.2436914691302
0.411661,70.214669,28.714395,702.89991,702.6508360075683
0.421661,70.231039,29.416622,703.190565,702.9164551456277
0.431661,70.247389,30.119013,703.488243,703.2177156894592
0.441661,70.263618,30.821567,703.792946,703.2227937048182
0.451661,70.279792,31.524284,704.104675,704.6125484556367
0.461661,70.296014,32.227162,704.423432,704.0166863283329
0.471661,70.312183,32.930202,704.749219,704.897313301241
0.481661,70.328197,33.633403,705.082037,705.3552290718314
0.491661,70.344259,34.336764,705.421888,705.8944020490687
0.501661,70.396179,35.040465,705.768774,706.4161556371454
0.511661,70.419652,35.744544,706.122699,706.2523839497808
0.521661,70.435604,36.448819,706.483666,706.2375023206795
0.531661,70.451468,37.153253,706.851676,706.8512037387552
0.541661,70.467381,37.857847,707.226732,707.8693299545628
0.551661,70.483138,38.562598,707.608834,707.3734485550063
0.561661,70.498941,39.267508,707.997985,707.798099350802
0.571661,70.514692,39.972575,708.394185,708.4502091592914
0.581661,70.530356,40.6778,708.797437,709.0585212144374
0.591661,70.546002,41.38318,709.207742,709.2668581843185
0.601661,70.595947,42.088889,709.625102,709.6871555681784
0.603201,70.602646,42.197577,709.689983,709.4472406949347
0.606765,70.611368,42.449254,709.841286,709.9560732213106
0.610329,70.617232,42.700953,709.993485,709.5333333228144
0.617458,70.628492,43.204389,710.299678,710.7564621159725
0.624587,70.639389,43.707905,710.60946,710.6554412284183
0.631715,70.650258,44.211498,710.922831,711.1776065256428
0.641715,70.66586,44.918069,711.368479,711.2860140166028
0.651715,70.681243,45.624796,711.821193,711.5865060119054
0.661715,70.696558,46.331677,712.280975,712.7831483096916
0.671715,70.712036,47.038712,712.747827,713.4384651031281
0.681715,70.727046,47.7459,713.22175,712.9612802672658
0.691715,70.742132,48.453239,713.702746,712.9197856932794
0.701715,70.790885,49.160856,714.190816,714.1274452749378
0.711715,70.812484,49.868915,714.685964,714.5081518360411
0.721715,70.82746,50.577106,715.188194,715.5736934176597
0.731715,70.842814,51.28545,715.697507,716.0052080017559
0.741715,70.857843,51.99395,716.213904,716.3136548089901
0.751715,70.872466,52.702599,716.737387,717.3310578494074
0.761715,70.88743,53.411396,717.267956,716.9104712414364
0.771715,70.902328,54.120344,717.805615,717.8016052540303
0.781715,70.917061,54.82944,718.350364,718.5175722832608
0.791715,70.93196,55.538684,718.902204,719.0356494065447
0.801715,70.978665,56.24821,719.461138,719.5301329787559
0.811715,70.999535,56.9581,720.02717,719.5614996846747
0.821715,71.014159,57.668168,720.600301,721.0381191052342
0.831715,71.028684,58.378381,721.180534,720.9750941752242
0.841715,71.043127,59.088738,721.76787,721.202309529196
0.851715,71.05784,59.79924,722.36231,722.5497374309011
0.861715,71.072118,60.509885,722.963855,723.1656197533089
0.871715,71.08651,61.220672,723.572508,723.3580518710608
0.881715,71.100713,61.931599,724.188269,724.093461613278
0.891715,71.115067,62.642666,724.81114,724.7297678423184
0.901715,71.160231,63.354001,725.441123,725.4485844884624
0.911715,71.180793,64.065687,726.078222,726.3168736758329
0.921715,71.194953,64.777541,726.722438,726.7397100809263
0.931715,71.209156,65.489531,727.373773,727.6275660868904
0.941715,71.223282,66.201657,728.032229,728.0150299997373
