Time (s),acceleration Magnitude (m/s²),Vz (m/s),Z (m),z
0.0,69.356316,0.0,697.0,696.8738549489346
0.005842,69.367642,0.403394,697.002357,697.4119496119902
0.011684,69.378177,0.80685,697.00707,696.878228495906
0.021684,69.396174,1.497535,697.018592,697.0014371049788
0.031684,69.414156,2.188398,697.037022,696.9206519849057
0.041684,69.432093,2.879441,697.062361,697.1032897313736
0.051684,69.449959,3.570662,697.094612,697.4366595619938
0.061684,69.467789,4.26206,697.133775,697.2711683356603
0.071684,69.485516,4.953636,697.179854,697.1027084644631
0.081684,69.503266,5.645387,697.232849,697.3697881545035
0.091684,69.5209,6.337316,697.292762,697.4626054822693
0.101684,69.583547,7.029643,697.359597,697.1735820881845
0.111684,69.609514,7.722412,697.433358,697.4109917838509
0.121684,69.627086,8.415397,697.514047,697.3639330104871
0.131684,69.644559,9.108557,697.601666,698.0429572724505
0.141684,69.662033,9.801891,697.696219,697.7721158358506
0.151684,69.67948,10.495398,697.797705,697.7871943947948
0.161684,69.696818,11.189079,697.906127,697.6005381320053
0.171684,69.714163,11.882932,698.021487,697.8395294641026
0.181684,69.731446,12.576958,698.143787,698.2585762897565
0.191684,69.748667,13.271155,698.273027,698.5488283788109
0.201684,69.807105,13.965695,698.409211,698.6798788399018
0.211684,69.83212,14.660712,698.552343,698.5175019453584
0.221684,69.849266,15.355917,698.702426,698.7046306510013
0.231684,69.866386,16.051287,698.859462,699.2052862583467
0.241684,69.883446,16.746826,699.023452,699.0198993576653
0.251684,69.90045,17.442536,699.194399,699.40680051791
0.261684,69.917404,18.138414,699.372304,698.8190213835095
0.271684,69.9343,18.834461,699.557168,699.4455193795236
0.281684,69.951171,19.530676,699.748994,699.9494745486497
0.291684,69.968021,20.227058,699.947783,700.1281092994694
0.301684,70.024207,20.923804,700.153537,700.2370498934448
0.311684,70.048665,21.620952,700.366261,700.5230459783899
0.321684,70.065403,22.318304,700.585957,700.5849467453345
0.331684,70.082084,23.015823,700.812628,701.0341090797519
0.341684,70.098709,23.713508,701.046274,701.1390322927807
0.351684,70.11528,24.411358,701.286899,701.9040592317903
0.361684,70.131898,25.109373,701.534502,701.5326601488339
0.371684,70.148358,25.807552,701.789087,701.5119203073384
0.381684,70.164866,26.505896,702.050654,701.57387139521
0.391684,70.181318,27.204404,702.319205,702.7662986571983
0.401684,70.235287,27.903262,702.594743,702.5195117258492
0.411684,70.259162,28.602508,702.877272,702.8914134919892
0.421684,70.2755,29.301954,703.166795,702.8624569365066
0.431684,70.291821,30.001562,703.463312,703.7536792110773
0.441684,70.308017,30.701332,703.766827,703.9376883881769
0.451684,70.324158,31.401264,704.07734,703.5694311295904
0.461684,70.340346,32.101356,704.394853,704.9936070465828
0.471684,70.35648,32.801609,704.719368,705.211312652977
0.481684,70.372457,33.502021,705.050886,705.0563918963566
0.491684,70.388483,34.202593,705.389409,705.2911561998462
0.501684,70.440468,34.903504,705.734939,705.7075651794402
0.511684,70.463801,35.604789,706.087481,706.279429281743
